char,sent_n,token_i,word
0,1,0,Three
6,1,1,journalists
27,1,4,Qatar
33,1,6,based
39,1,7,Al
42,1,9,Jazeera
50,1,10,television
61,1,11,news
66,1,12,network
84,1,15,sentenced
97,1,17,seven
103,1,18,years
112,1,20,jail
122,1,23,court
131,1,25,Cairo
137,1,26,today
147,1,28,spreading
157,1,29,false
163,1,30,news
172,1,32,helping
184,1,34,Muslim
191,1,35,Brotherhood
203,1,36,group
223,1,40,banned
233,1,42,terrorists
255,2,46,journalists
273,2,49,Australian
284,2,50,correspondent
298,2,51,Peter
304,2,52,Greste
312,2,54,Canadian
321,2,56,Egyptian
330,2,57,journalist
345,2,59,Cairo
351,2,60,bureau
358,2,61,chief
368,2,63,Al
371,2,65,Jazeera
379,2,66,Mohamed
387,2,67,Fahmy
398,2,70,Baher
404,2,71,Mohamed
416,2,74,Egyptian
440,2,77,convicted
450,2,78,alongside
467,2,80,tried
476,2,82,absentia
487,3,85,Baher
493,3,86,Mohamed
505,3,88,sentenced
524,3,91,years
535,3,94,second
542,3,95,charge
553,3,97,possessing
564,3,98,weapons
574,4,101,Al
577,4,102,Antsey
589,4,105,managing
598,4,106,director
611,4,108,Al
614,4,109,Jazeera
622,4,110,English
630,4,111,said
642,4,114,judgment
653,4,117,Today
665,4,119,colleagues
680,4,121,friends
693,4,123,sentenced
713,4,127,continue
729,4,129,bars
746,4,133,brilliant
756,4,134,job
769,4,137,great
775,4,138,journalists
789,5,141,Guilty
800,5,144,covering
809,5,145,stories
822,5,147,great
828,5,148,skill
838,5,150,integrity
850,6,153,Guilty
861,6,156,defending
871,6,157,people
880,6,159,right
889,6,161,know
902,6,164,going
920,6,168,world
930,7,173,Peter
937,7,175,Mohamed
950,7,178,Baher
977,7,184,colleagues
993,7,186,sentenced
1003,7,187,despite
1015,7,189,fact
1031,7,193,shred
1040,7,195,evidence
1053,7,197,found
1062,7,199,support
1074,7,201,extraordinary
1092,7,203,false
1098,7,204,charges
1120,8,208,At
1126,8,210,point
1143,8,213,long
1148,8,214,drawn
1159,8,217,trial
1174,8,221,absurd
1181,8,222,allegations
1193,8,223,stand
1205,8,226,scrutiny
1215,9,228,There
1231,9,231,moments
1250,9,234,hearings
1278,9,239,court
1287,9,241,law
1296,9,244,trial
1311,9,247,thrown
1323,10,250,There
1334,10,252,numerous
1343,10,253,irregularities
1361,10,255,addition
1377,10,258,lack
1385,10,260,evidence
1397,10,262,stand
1410,10,265,ill
1414,10,267,conceived
1424,10,268,allegations
1439,11,272,Julie
1445,11,273,Bishop
1457,11,276,Australian
1468,11,277,Foreign
1476,11,278,Minister
1486,11,280,said
1500,11,284,bitterly
1509,11,285,disappointed
1530,11,289,decision
