char,sent_n,token_i,word
0,1,0,Sinn
5,1,1,Fein
14,1,3,expel
31,1,6,head
39,1,8,administration
55,1,10,Denis
61,1,11,Donaldson
81,1,15,confessed
102,1,19,British
110,1,20,spy
131,2,26,Donaldson
141,2,27,said
149,2,29,deeply
156,2,30,regretted
170,2,32,activities
202,2,37,years
209,2,39,In
214,2,41,statement
227,2,43,RTE
231,2,44,News
240,2,47,described
254,2,49,Stormont
263,2,50,spying
270,2,51,allegations
287,2,54,sham
295,3,57,Taoiseach
305,3,58,Bertie
312,3,59,Ahern
318,3,60,said
327,3,62,incident
344,3,66,bizarre
358,3,69,gets
369,4,73,UK
372,4,74,government
392,4,77,challenged
410,4,80,inquiry
427,4,83,matter
437,5,87,Blair
443,5,88,needs
452,5,90,explain
471,5,93,knew
476,5,94,Donaldson
493,5,97,agent
527,5,106,credibly
544,5,111,said
549,5,112,Jim
553,5,113,Allister
569,5,116,Democratic
580,5,117,Unionist
589,5,118,Party
601,6,122,Prime
607,6,123,Minister
635,6,128,statement
648,6,130,Parliament
662,6,132,Monday
