char,sent_n,token_i,word
0,1,0,British
8,1,1,Home
13,1,2,Secretary
24,1,4,Charles
32,1,5,Clarke
43,1,8,facing
50,1,9,increasing
61,1,10,pressure
73,1,12,resign
85,1,14,office
99,1,17,scandal
107,1,18,involving
121,1,20,release
132,1,22,foreign
140,1,23,prisoners
158,1,25,subsequent
169,1,26,deportation
181,1,27,hearings
192,2,30,It
199,2,32,recently
208,2,33,revealed
241,2,40,prisoners
256,2,42,released
271,2,44,serving
285,2,46,sentences
309,2,51,subjected
322,2,53,deportation
334,2,54,hearings
346,2,56,determine
379,2,61,allowed
390,2,63,stay
402,2,66,United
409,2,67,Kingdom
418,3,69,Five
430,3,72,criminals
445,3,74,subsequently
461,3,77,offended
476,3,80,crimes
483,3,81,involving
493,3,82,drugs
503,3,84,violence
514,4,87,It
519,4,89,clear
534,4,92,increasing
545,4,93,numbers
556,4,95,cases
568,4,97,referred
581,4,99,consideration
595,4,100,led
606,4,103,process
614,4,104,falling
629,4,108,said
634,4,109,Clarke
643,4,112,I
648,4,114,apologise
659,5,116,I
666,5,118,apologised
678,5,120,I
680,5,121,continue
702,6,128,Despite
714,6,130,admission
727,6,132,error
736,6,134,behalf
750,6,137,department
766,6,140,Home
771,6,141,Secretary
781,6,142,faces
796,6,145,real
801,6,146,threat
819,6,149,crimes
826,6,150,committed
843,6,153,released
852,6,154,offenders
877,6,158,pressure
889,6,160,resign
897,7,162,An
900,7,163,intense
908,7,164,effort
924,7,167,way
935,7,170,police
946,7,172,immigration
958,7,173,services
970,7,175,track
991,7,180,higher
998,7,182,risk
1003,7,183,released
1012,7,184,offenders
1032,7,188,arrests
1044,7,190,expected
1053,7,191,today
