char,sent_n,token_i,word
0,1,0,Japanese
9,1,1,entrepreneur
22,1,2,Daisuke
31,1,4,Dice
36,1,6,K
39,1,8,Enomoto
55,1,13,set
73,1,17,fourth
80,1,18,private
88,1,19,citizen
99,1,21,space
110,2,24,Arlington
121,2,26,Virginia
130,2,28,based
136,2,29,company
145,2,31,Space
151,2,32,Adventures
170,2,36,specializes
185,2,38,spaceflight
197,2,40,related
205,2,41,travel
213,2,43,announced
226,2,45,March
239,2,48,Enomoto
251,2,50,approved
267,2,53,Russian
275,2,54,space
281,2,55,agency
293,2,58,flight
300,2,59,candidate
312,3,62,Enomoto
328,3,65,passed
339,3,67,physical
348,3,68,examinations
361,3,69,necessary
377,3,72,cleared
389,3,74,training
399,3,76,finished
412,3,78,medical
420,3,79,preparation
437,3,82,signed
448,3,84,contract
465,3,87,flight
473,4,89,His
477,4,90,training
495,4,93,Russian
503,4,94,Federal
511,4,95,Space
517,4,96,Agency
529,4,98,include
537,4,99,physical
550,4,101,aeronautical
563,4,102,preparation
586,4,106,Russian
594,4,107,language
603,4,108,instruction
617,5,111,Enomoto
643,5,116,Japanese
652,5,117,person
662,5,119,fly
673,5,122,International
687,5,123,Space
693,5,124,Station
702,5,126,ISS
708,6,129,His
712,6,130,trip
726,6,134,place
737,6,137,Soyuz
749,6,139,rocket
760,6,142,scheduled
774,6,144,September
792,6,148,ticket
799,6,149,price
814,6,153,million
824,7,156,United
831,7,157,States
838,7,158,entrepreneur
851,7,159,Gregory
859,7,160,Olsen
865,7,161,returned
883,7,164,ISS
890,7,166,October
904,7,169,previous
913,7,170,space
919,7,171,vacationers
936,7,173,American
945,7,174,Dennis
952,7,175,Tito
969,7,179,South
975,7,180,African
983,7,181,Mark
988,7,182,Shuttleworth
