char,sent_n,token_i,word
4,1,1,president
21,1,4,World
27,1,5,Bank
33,1,7,Paul
38,1,8,Wolfowitz
53,1,11,addressed
65,1,13,global
72,1,14,youth
78,1,15,forum
87,1,17,genocide
99,1,19,Kigali
107,1,21,Rwanda
115,1,23,today
135,1,29,visit
149,1,32,African
157,1,33,countries
172,1,35,week
179,2,38,Speaking
191,2,40,genocide
204,2,43,said
211,2,46,people
240,2,53,easily
248,2,55,It
253,2,57,happening
263,2,58,today
272,2,60,Sudan
279,3,62,We
286,3,64,share
292,3,65,responsibility
310,3,67,actually
322,3,69,things
334,4,72,conditions
348,4,74,preventing
359,4,75,genocide
368,4,76,lie
372,4,77,partly
382,4,79,helping
390,4,80,people
407,4,84,better
414,4,85,life
420,5,87,It
425,5,89,easier
435,5,91,incite
442,5,92,people
470,5,97,lose
478,6,101,Asked
492,6,104,international
506,6,105,community
516,6,106,ignored
524,6,107,past
529,6,108,genocide
539,6,110,Wolfowitz
549,6,111,said
556,6,114,There
571,6,117,explanations
591,6,120,excuses
600,7,122,We
611,7,125,work
621,7,127,countries
640,7,130,working
651,7,132,prevent
659,7,133,conflict
671,8,137,He
674,8,138,said
688,8,141,work
707,8,144,African
715,8,145,countries
728,8,147,cut
732,8,148,poverty
741,8,150,citing
748,8,151,Tony
753,8,152,Blair
761,8,154,phrase
774,8,158,deal
785,8,161,deal
793,8,165,So
801,8,167,governments
822,8,170,stepping
842,8,174,responsibility
860,9,178,He
863,9,179,added
874,9,181,World
880,9,182,Bank
885,9,183,assistance
899,9,185,service
907,9,186,debt
912,9,187,repayments
944,9,192,meeting
952,9,193,needs
959,9,195,following
973,9,197,cancellations
994,9,200,debts
1010,9,204,poorest
1018,9,205,countries
1028,9,206,agreed
1041,9,209,countries
1056,9,211,week
1067,10,215,forum
1073,10,216,organised
1086,10,218,Never
1092,10,219,Again
1105,10,222,began
1118,10,225,Kigali
1125,10,226,Institute
1139,10,228,Science
1151,10,230,Technology
1162,10,231,today
1173,10,234,participants
1191,10,236,Rwanda
1203,10,239,Congo
1210,10,241,Burundi
1223,10,244,United
1230,10,245,States
1241,10,247,Canada
1254,11,251,forum
1260,11,252,continues
1270,11,253,today
1280,11,255,includes
1289,11,256,discussions
1308,11,259,future
1322,11,262,Great
1328,11,263,Lakes
1334,11,264,region
1349,11,267,international
1363,11,268,community
1375,11,270,responsibility
1393,11,272,protect
1409,11,274,genocide
