char,sent_n,token_i,word
4,1,1,government
18,1,3,Finland
30,1,5,announced
48,1,8,offer
57,1,10,send
68,1,12,specialist
79,1,13,firefighting
92,1,14,helicopters
108,1,17,firefighters
129,1,22,forest
136,1,23,fire
141,1,24,experts
152,1,26,Greece
167,1,29,European
176,1,30,Union
185,1,32,assist
201,1,35,forest
208,1,36,fire
213,1,37,emergency
223,1,38,Greece
233,1,40,currently
243,1,41,experiencing
258,2,44,Greece
268,2,46,currently
281,2,48,urgent
288,2,49,need
296,2,51,fixed
302,2,53,wing
307,2,54,aircraft
321,2,56,water
327,2,58,bombing
335,2,59,capabilities
349,2,61,assets
362,2,63,Finland
379,2,66,posses
387,3,68,If
394,3,70,Greek
400,3,71,authorities
412,3,72,deem
417,3,73,Finland
427,3,75,offers
440,3,78,suitable
463,3,83,dispatched
479,3,85,immediate
489,3,86,effect
508,3,90,hours
517,3,92,Greece
524,3,93,requesting
539,3,95,rotorcraft
554,3,97,personnel
566,4,100,It
572,4,102,thought
589,4,105,men
604,4,108,likely
621,4,112,use
625,4,113,protecting
636,4,114,built
645,4,117,areas
657,4,120,attempt
668,4,122,prevent
680,4,124,death
686,4,125,toll
714,4,132,rising
725,4,134,higher
738,5,138,helicopters
760,5,141,sourced
774,5,144,private
782,5,145,company
791,6,147,Finland
799,6,148,said
813,6,151,country
831,6,154,commit
841,6,156,send
850,6,158,aircraft
863,6,160,sooner
878,6,162,arrangements
905,6,166,cover
917,6,168,removal
930,6,170,service
952,6,174,safety
962,6,176,Finland
979,6,179,severely
988,6,180,jeopardised
1006,6,183,emergency
1016,6,184,aircraft
1025,6,185,unavailable
1044,6,187,Finland
1052,6,188,experience
1067,6,190,fires
1090,7,197,helicopters
1102,7,198,Finland
1115,7,200,available
1134,7,203,carry
1150,7,207,litres
1160,7,209,water
1169,7,211,foam
1174,7,212,retardant
1193,7,215,large
1199,7,216,firefighting
1212,7,217,planes
1223,7,219,carry
1229,7,220,tens
1237,7,222,thousands
1250,7,224,litres
1259,8,227,Finland
1271,8,229,previously
1282,8,230,thought
1304,8,234,unable
1314,8,236,spare
1324,8,238,help
1333,8,240,Greece
1368,8,248,sourcing
1380,8,250,aircraft
1398,8,253,private
1406,8,254,sector
1418,8,256,Finland
1430,8,258,able
1447,8,262,offer
1454,9,264,Finland
1471,9,267,looking
1507,9,274,assistance
1521,9,276,reforestation
1535,9,277,efforts
1553,9,280,fires
1569,9,283,extinguished
