char,sent_n,token_i,word
0,1,0,London
19,2,4,Last
24,2,5,Friday
32,2,7,Wikinews
41,2,8,interviewed
53,2,9,Trischa
61,2,10,Zorn
75,2,13,medal
81,2,15,winner
98,3,19,Paralympic
109,3,20,swimmer
119,3,22,haul
124,3,23,includes
136,3,25,golds
144,4,28,Zorn
149,4,29,discussed
161,4,31,variety
172,4,33,issues
180,4,35,including
190,4,36,frustration
211,4,39,classification
226,4,40,system
242,4,43,disadvantaged
261,4,45,United
268,4,46,States
275,4,47,swimmers
304,4,52,sees
316,4,55,subjective
327,4,56,nature
335,5,58,She
344,5,60,talked
361,5,63,increased
371,5,64,visibility
389,5,67,Games
400,5,70,things
412,5,72,changed
434,5,76,started
457,5,81,current
470,5,83,Summer
477,5,84,Paralympics
490,6,86,Zorn
495,6,87,discussed
509,6,89,sponsorship
525,6,91,evolved
542,6,94,early
548,6,95,time
553,6,96,participating
572,6,99,issues
588,6,102,Paralympics
600,6,103,inside
611,6,105,United
618,6,106,States
632,6,109,present
642,7,112,This
647,7,113,year
652,7,114,Zorn
661,7,116,inducted
679,7,119,International
693,7,120,Paralympic
704,7,121,Hall
712,7,123,Fame
722,7,126,ceremony
734,7,128,London
742,8,130,Having
754,8,132,competed
775,8,136,Summer
782,8,137,Paralympics
806,8,142,swimming
815,8,143,today
835,8,148,classified
856,8,152,swimmer
865,9,154,She
869,9,155,currently
879,9,156,works
893,9,159,United
900,9,160,States
907,9,161,Department
921,9,163,Veterans
930,9,164,Affairs
939,9,166,helping
947,9,167,returning
957,9,168,soldiers
966,9,169,adjust
976,9,171,life
984,9,173,civilians
