char,sent_n,token_i,word
0,1,0,Conservative
13,1,1,Party
19,1,2,leader
26,1,3,David
32,1,4,Cameron
49,1,7,night
57,1,9,victim
67,1,11,crime
73,1,12,following
87,1,14,theft
100,1,17,bicycle
114,2,21,Leader
128,2,24,Opposition
146,2,27,United
153,2,28,Kingdom
169,2,31,shopping
181,2,33,West
186,2,34,London
202,2,37,incident
211,2,38,happened
240,2,43,night
247,3,45,He
254,3,47,said
267,3,50,chained
279,3,52,bike
289,3,55,short
295,3,56,bollard
312,3,59,picked
327,3,62,groceries
340,3,64,Tesco
349,3,66,Portobello
360,3,67,Road
366,4,69,When
374,4,71,came
388,4,75,bike
408,4,79,chain
418,4,81,vanished
429,5,84,He
432,5,85,stated
464,5,92,like
502,5,103,absolutely
513,5,104,priceless
525,6,107,He
536,6,110,said
549,6,113,reported
562,6,115,theft
575,6,118,Scotland
584,6,119,Yard
589,6,120,online
596,6,121,reporting
606,6,122,website
623,6,126,pessimistic
650,6,130,returned
664,7,133,thieves
676,7,135,said
689,7,139,group
698,7,141,teenagers
710,8,144,Around
724,8,146,bicycles
737,8,148,reported
746,8,149,stolen
759,8,151,year
767,8,153,London
782,9,157,Cameron
792,9,159,spokesperson
805,9,160,said
817,9,163,owned
827,9,165,bike
841,9,168,years
860,9,173,regularly
873,9,175,cycle
882,9,177,work
888,10,179,She
892,10,180,stated
907,10,184,pretty
914,10,185,hacked
933,10,190,theft
