char,sent_n,token_i,word
4,1,1,United
11,1,2,States
18,1,3,House
27,1,5,Representatives
43,1,6,approved
54,1,8,measure
65,1,10,Thursday
77,1,12,impose
86,1,14,heavy
92,1,15,tax
99,1,17,bonuses
110,1,19,executives
126,1,21,companies
151,1,25,bailed
169,1,29,government
185,2,32,bill
194,2,34,passed
206,2,37,margin
225,3,44,Under
235,3,46,bill
241,3,48,executives
252,3,49,making
277,3,54,year
291,3,57,charged
305,3,61,tax
312,3,63,bonuses
325,4,66,tax
335,4,68,apply
344,4,70,firms
365,4,74,given
383,4,79,billion
394,4,81,aid
407,4,84,government
429,5,89,comes
441,5,91,recent
448,5,92,outrage
459,5,94,American
468,5,95,International
482,5,96,Group
489,5,98,AIG
501,5,102,gave
515,5,106,million
526,5,108,bonuses
545,5,112,executives
562,5,114,receiving
590,5,120,billion
601,5,122,government
612,5,123,bailouts
622,6,125,AIG
630,6,127,said
644,6,130,bonuses
662,6,134,given
680,6,139,company
692,6,141,legally
700,6,142,required
712,6,144,contract
733,7,150,Nancy
739,7,151,Pelosi
751,7,154,Speaker
766,7,157,House
773,7,159,said
787,7,162,bill
796,7,164,necessary
821,7,168,bad
825,7,169,judgment
834,7,170,shown
843,7,172,firms
853,7,174,received
862,7,175,bailouts
880,7,178,government
895,8,182,We
903,8,184,stabilize
917,8,186,financial
927,8,187,system
937,8,189,order
946,8,191,strengthen
961,8,193,economy
973,8,195,create
980,8,196,jobs
986,9,198,We
999,9,201,protect
1011,9,203,American
1020,9,204,taxpayer
1034,9,206,executives
1055,9,209,use
1065,9,211,companies
1076,9,213,second
1083,9,214,chances
1094,9,216,opportunities
1112,9,218,private
1120,9,219,gain
1126,10,221,Because
1149,10,225,use
1153,10,226,sound
1159,10,227,judgment
1175,10,230,use
1182,10,232,taxpayer
1191,10,233,funds
1204,10,236,AIG
1208,10,237,executives
1224,10,239,pay
1232,10,241,Treasury
1248,10,244,form
1261,10,247,tax
1267,10,250,said
1272,10,251,Pelosi
1282,10,253,reporters
1292,10,254,following
1306,10,256,House
1312,10,257,vote
1323,11,261,Senate
1333,11,263,expected
1345,11,265,vote
1357,11,268,similar
1365,11,269,version
1380,11,272,bill
1386,12,274,If
1389,12,275,approved
1403,12,278,differences
1431,12,282,versions
1457,12,287,bridged
1484,12,292,signed
1496,12,294,law
