char,sent_n,token_i,word
4,1,1,Scottish
13,1,2,Football
22,1,3,Association
38,1,5,apologised
55,1,7,fans
60,1,8,booed
70,1,10,Liechtenstein
84,1,11,national
93,1,12,team
111,1,15,national
120,1,16,anthem
135,1,19,night
143,1,21,Euro
153,1,23,qualifier
164,2,25,A
166,2,26,section
181,2,29,Scottish
190,2,30,fans
195,2,31,started
206,2,33,jeer
215,2,35,anthem
233,2,39,similarity
247,2,41,God
251,2,42,Save
260,2,44,Queen
268,3,47,Acting
275,3,48,chief
281,3,49,executive
291,3,50,George
298,3,51,Peat
303,3,52,said
313,3,55,statement
329,3,58,I
335,3,60,embarrassed
351,3,62,extremely
361,3,63,disappointed
381,3,66,disgraceful
393,3,67,behaviour
418,3,72,supporters
440,3,75,Liechtenstein
454,3,76,national
463,3,77,anthem
473,3,79,Hampden
481,3,80,Park
491,3,82,night
499,4,85,He
502,4,86,added
509,4,88,I
511,4,89,apologise
521,4,90,unreservedly
541,4,93,visitors
558,4,96,crass
564,4,97,reaction
582,4,100,anthem
592,5,104,Scotland
601,5,105,defeated
610,5,106,Liechtenstein
631,5,111,win
646,5,114,points
654,6,116,Mario
660,6,117,Frick
666,6,118,scored
683,6,121,Liechtenstein
712,6,125,start
725,6,128,second
732,6,129,half
742,6,132,Kenny
748,6,133,Miller
755,6,134,later
761,6,135,scored
776,6,138,bar
783,6,140,equalise
796,6,142,game
802,7,144,In
809,7,146,final
815,7,147,minutes
826,7,149,extra
832,7,150,time
837,7,151,Stephen
845,7,152,McManus
853,7,153,scored
867,7,156,header
881,7,159,Scotland
904,7,164,Group
