char,sent_n,token_i,word
0,1,0,Police
10,1,2,South
16,1,3,Salt
21,1,4,Lake
27,1,6,Utah
36,1,8,searching
50,1,10,missing
58,1,11,seven
64,1,13,year
69,1,15,old
73,1,16,Hser
78,1,17,Nar
82,1,18,Moo
92,1,21,seen
104,1,24,home
112,1,26,Monday
120,2,28,In
123,2,29,issuing
134,2,31,AMBER
140,2,32,Alert
147,2,34,notifying
161,2,36,public
173,2,39,possible
182,2,40,child
188,2,41,abduction
199,2,43,police
206,2,44,called
228,2,48,information
254,2,51,child
263,2,53,contact
278,3,57,Nar
282,3,58,Moo
295,3,61,seen
307,3,64,home
315,3,66,Monday
342,4,71,MDT
363,4,78,reported
372,4,79,missing
404,5,85,alert
414,5,87,issued
421,5,88,today
441,6,93,Police
448,6,94,called
460,6,96,members
475,6,99,public
495,6,103,information
517,6,106,child
559,6,123,seven
565,6,125,year
570,6,127,old
574,6,128,Asian
580,6,129,girl
588,6,131,described
609,6,135,feet
616,6,137,inches
623,6,138,tall
629,6,140,weighing
647,6,143,lbs
657,6,146,brown
663,6,147,eyes
672,6,149,long
677,6,150,black
683,6,151,hair
689,7,153,She
697,7,155,wearing
707,7,157,pink
712,7,158,dress
725,7,161,knees
735,7,163,pink
740,7,164,Crocs
746,7,165,shoes
754,8,168,Police
761,8,169,reported
779,8,172,speaks
791,8,174,little
798,8,175,English
823,8,180,understand
840,9,183,Her
844,9,184,family
851,9,185,arrived
864,9,187,Burma
879,10,191,Police
886,10,192,indicated
915,10,198,need
923,10,200,medical
931,10,201,attention
