char,sent_n,token_i,word
0,1,0,BBC
4,1,1,Wales
14,1,3,iPTV
19,1,4,station
27,1,5,VTV
35,1,7,reporting
52,1,10,light
58,1,11,aircraft
75,1,14,emergency
85,1,15,landing
102,1,18,BST
109,1,20,Treforest
119,1,21,Industrial
130,1,22,Estate
137,1,23,near
142,1,24,Cardiff
156,2,28,aircraft
169,2,31,orange
176,2,33,coloured
185,2,34,single
192,2,36,engine
199,2,37,model
205,3,38,Fox
209,3,39,home
214,3,41,built
220,3,42,kit
228,3,44,carrying
241,3,46,people
263,3,51,forced
270,3,52,landing
283,3,55,section
294,3,57,dual
299,3,58,carriageway
322,3,61,industrial
333,3,62,estate
342,4,65,It
352,4,68,known
362,4,70,severely
375,4,72,man
383,4,74,woman
392,4,76,board
403,4,78,injured
414,4,81,spokesperson
431,4,83,South
437,4,84,Wales
443,4,85,Police
450,4,86,stated
474,4,91,aircraft
485,4,93,occupants
495,4,94,sustained
506,4,96,non
510,4,97,life
515,4,99,threatening
527,4,100,injuries
539,5,104,Treforest
549,5,105,Industrial
560,5,106,Estate
581,5,111,largest
589,5,112,business
598,5,113,parks
611,5,116,south
617,5,117,Wales
623,5,118,valleys
632,6,120,Its
636,6,121,location
663,6,126,metres
679,6,129,main
689,6,131,expressway
711,6,134,resulted
725,6,137,far
729,6,138,greater
737,6,139,tragedy
747,7,142,VTV
751,7,143,reporter
764,7,145,private
772,7,146,pilot
778,7,147,Craig
784,7,148,Handley
792,7,149,said
806,7,152,location
822,7,155,accident
857,7,162,logical
865,7,163,place
874,7,165,try
882,7,167,set
890,7,169,aircraft
911,7,173,dual
916,7,174,carriageway
935,7,177,runs
952,7,180,estate
963,7,183,clearly
971,7,184,visible
988,7,187,air
1006,7,191,completely
1017,7,192,straight
1030,7,194,wide
1038,8,198,Today
1046,8,200,accident
1055,8,201,comes
1073,8,205,year
1086,8,208,similar
1094,8,210,sized
1100,8,211,aircraft
1113,8,213,forced
1131,8,217,emergency
1141,8,218,landing
1163,8,222,miles
1169,8,223,away
1179,8,225,Treforest
1189,8,226,Industrial
1200,8,227,Estate
1208,9,229,A
1210,9,230,Cessna
1221,9,232,suffered
1232,9,234,sudden
1239,9,235,loss
1247,9,237,engine
1254,9,238,power
1271,9,241,approach
1283,9,243,nearby
1290,9,244,Cardiff
1298,9,245,International
1312,9,246,Airport
1326,10,250,Cessna
1340,10,253,earlier
1348,10,254,accident
1357,10,255,collided
1373,10,258,group
1382,10,260,trees
1388,10,261,shedding
1401,10,263,wings
1414,10,265,coming
1424,10,267,rest
1434,10,270,small
1440,10,271,country
1448,10,272,road
1462,11,276,occupants
1480,11,279,aircraft
1489,11,280,received
1498,11,281,slight
1505,11,282,injuries
1516,12,285,South
1522,12,286,Wales
1528,12,287,Police
1544,12,290,confirmed
1566,12,293,motorists
1579,12,295,pedestrians
1596,12,297,injured
1613,12,300,aircraft
1625,12,302,today
1633,12,304,accident
1651,12,307,emergency
1661,12,308,landing
1674,13,311,aircraft
1687,13,313,cause
1698,13,315,structural
1709,13,316,damage
1721,13,319,factory
1729,13,320,unit
1741,13,323,industrial
1752,13,324,estate
1759,13,325,prior
1768,13,327,coming
1778,13,329,rest
1784,13,331,inverted
1801,13,335,adjacent
1810,13,336,dual
1815,13,337,carriageway
1829,14,340,According
1846,14,343,eyewitness
1862,14,346,aircraft
1871,14,347,appeared
1888,14,350,experienced
1903,14,352,engine
1910,14,354,related
1918,14,355,problem
1926,14,356,seconds
1941,14,358,impact
1950,15,361,A
1952,15,362,spokesperson
1970,15,365,Cardiff
1978,15,366,International
1992,15,367,Airport
2000,15,368,said
2014,15,371,aircraft
2027,15,373,departed
2041,15,375,Cardiff
2058,15,378,BST
2075,15,382,airport
2085,15,384,Air
2089,15,385,Traffic
2097,15,386,Control
2105,15,387,centre
2116,15,389,lost
2121,15,390,contact
2138,15,393,plane
2150,16,397,Civil
2156,16,398,Aviation
2165,16,399,Authority
2177,16,401,Air
2181,16,402,Accident
2190,16,403,Investigation
2204,16,404,Branch
2212,16,406,AAIB
2228,16,410,informed
2252,16,415,begin
2264,16,417,investigation
2287,16,420,crash
