char,sent_n,token_i,word
0,1,0,Brazil
26,1,5,quarter
34,1,7,finals
48,1,10,Fifa
53,1,11,World
59,1,12,Cup
71,1,15,comfortable
87,1,19,win
96,1,21,Ghana
103,1,23,Tuesday
115,2,26,Ghana
131,2,29,dictate
143,2,31,style
157,2,34,match
175,2,38,defensive
195,2,41,near
207,2,44,half
212,2,46,way
216,2,47,line
221,2,48,Brazil
232,2,50,kept
244,2,53,shooting
253,2,54,range
260,3,56,While
266,3,57,Ghana
282,3,60,stop
291,3,62,reigning
300,3,63,champions
310,3,64,scoring
327,3,67,counter
335,3,69,attacks
348,3,71,achieved
357,3,72,slightly
371,3,74,ball
376,3,75,possession
391,3,77,shots
400,3,79,goal
414,3,82,game
425,4,86,Africans
438,4,88,shot
447,4,90,South
453,4,91,Americans
487,4,97,accurate
503,4,100,wide
513,4,102,long
518,4,103,range
525,5,105,Brazil
532,5,106,looked
549,5,109,deadly
556,5,110,going
562,5,111,forward
574,5,113,got
598,5,119,shots
607,5,121,target
616,6,124,Ratomir
624,6,125,Dujkovic
635,6,127,team
642,6,129,offside
650,6,130,trap
659,6,132,brittle
671,6,134,beaten
694,6,138,minutes
703,7,140,Kaka
708,7,141,sent
713,7,142,Ronaldo
721,7,143,sprinting
744,8,147,forward
758,8,150,step
780,8,155,Richard
788,8,156,Kingston
812,8,161,fifteenth
822,8,162,World
828,8,163,Cup
832,8,164,goal
856,8,170,championship
873,8,173,total
885,8,175,surpassed
899,8,177,German
906,8,178,Gerd
926,8,182,highest
934,8,183,scorer
948,8,186,history
963,8,189,World
969,8,190,Cup
975,9,193,Another
983,9,194,counterattack
1004,9,196,half
1009,9,197,time
1014,9,198,led
1021,9,200,Adriano
1031,9,202,tap
1043,9,206,Cafu
1050,9,208,low
1054,9,209,pass
1066,9,211,goal
1073,10,214,Ghana
1079,10,215,came
1084,10,216,closest
1097,10,219,goal
1107,10,221,John
1112,10,222,Mensah
1119,10,223,headed
1128,10,225,corner
1135,10,226,straight
1152,10,229,Dida
1159,10,231,feet
1169,11,234,Brazilian
1179,11,235,keeper
1186,11,236,reacted
1194,11,237,quickly
1205,11,239,save
1214,11,241,kick
1223,11,243,ball
1235,11,246,harm
1242,11,248,way
1258,12,253,goal
1274,12,257,simple
1281,12,258,long
1286,12,259,ball
1306,12,264,Ricardinho
1326,12,267,Ghanaian
1335,12,268,defence
1344,13,270,Ze
1347,13,271,Roberto
1355,13,272,ran
1372,13,277,nicked
1392,13,283,rushing
1400,13,284,keeper
1407,13,285,Kingston
1420,13,287,coaxed
1439,13,291,line
1446,14,294,At
1454,14,296,point
1467,14,299,match
1477,14,301,Brazilians
1492,14,303,received
1501,14,304,boos
1523,14,309,crowd
1533,14,311,thought
1541,14,312,football
1552,14,314,traditional
1564,14,315,crowd
1570,14,317,pleasers
1584,14,319,deliberately
1597,14,320,playing
1626,15,325,But
1637,15,328,clock
1643,15,329,ran
1665,15,334,number
1675,15,336,exciting
1684,15,337,Brazilian
1694,15,338,attacks
1706,15,340,Richard
1714,15,341,Kingston
1741,15,346,outstanding
1753,15,347,saves
1771,15,351,score
1777,15,352,respectable
1793,15,354,Ghana
1801,16,357,Asamoah
1809,16,358,Gyan
1818,16,360,sent
1835,16,364,got
1841,16,366,second
1848,16,367,yellow
1855,16,368,card
1864,16,370,foul
1869,16,371,simulation
1882,17,374,In
1894,17,377,phase
1900,17,378,Brazil
1913,17,380,play
1926,17,382,France
1939,17,386,game
1944,17,387,held
1952,17,389,Frankfurt
1965,17,391,July
