char,sent_n,token_i,word
0,1,0,Toronto
9,1,2,Ontario
17,1,3,police
28,1,5,currently
38,1,6,investigating
52,1,7,human
58,1,8,remains
66,1,9,encapsulated
82,1,11,concrete
96,1,13,Lake
101,1,14,Ontario
110,2,16,A
112,2,17,barrel
119,2,18,held
128,2,20,concrete
137,2,22,encased
145,2,23,body
150,2,24,found
156,2,25,offshore
172,2,28,Toronto
180,2,29,waterfront
196,3,32,neighbouring
209,3,33,area
217,3,35,currently
233,3,37,development
257,3,40,new
261,3,41,city
266,3,42,park
278,3,45,harbourfront
296,3,48,popular
304,3,49,tourist
312,3,50,destination
326,4,53,Detective
336,4,54,Justin
343,4,55,Vander
350,4,56,Heyden
357,4,57,stated
373,4,60,barrel
380,4,61,holds
389,4,64,victim
399,4,66,murder
407,4,68,encased
418,4,70,concrete
448,4,79,good
453,4,80,idea
474,4,86,barrel
486,4,89,conclusive
497,4,90,information
519,4,93,forthcoming
534,4,95,Tuesday
551,4,98,coroner
561,4,100,office
570,5,103,Ontario
578,5,104,provincial
589,5,105,police
597,5,107,OPP
611,5,111,investigating
635,5,114,bodies
647,5,116,long
652,5,117,weekend
668,6,120,Human
674,6,121,remains
687,6,123,found
698,6,126,construction
711,6,127,area
716,6,128,near
721,6,129,Barrie
734,6,132,body
748,6,135,found
754,6,136,near
759,6,137,Huntsville
775,6,140,roadside
784,6,141,ditch
791,7,143,A
793,7,144,firebombing
810,7,147,Royal
816,7,148,Bank
824,7,150,Canada
831,7,151,branch
841,7,153,Ottawa
852,7,155,resulted
867,7,158,urgent
883,7,161,OPP
890,7,164,inforcements
904,8,166,Ontario
912,8,167,security
930,8,170,increased
943,8,172,preparation
963,8,175,June
978,8,180,summit
992,8,183,Metro
998,8,184,Toronto
1006,8,185,Convention
1017,8,186,Centre
1035,8,190,summit
1045,8,192,Huntsville
1064,8,195,ensuing
1072,8,196,arrival
1083,8,198,international
1097,8,199,leaders
1109,8,201,delegations
