char,sent_n,token_i,word
0,1,0,United
7,1,1,States
14,1,2,swimmer
22,1,3,Michael
30,1,4,Phelps
46,1,7,banned
58,1,9,competition
78,1,12,training
87,1,13,stipend
95,1,14,revoked
113,1,17,months
123,1,19,USA
127,1,20,Swimming
142,1,22,Phelps
153,1,24,photographed
166,1,25,smoking
181,1,28,glass
187,1,29,pipe
208,1,34,smoking
216,1,35,cannabis
230,2,38,picture
242,2,40,published
257,2,42,Sunday
267,2,44,British
275,2,45,tabloid
283,2,46,News
295,2,49,World
303,3,52,USA
307,3,53,Swimming
330,3,58,governing
340,3,59,body
348,3,61,swimming
364,3,64,United
371,3,65,States
387,3,68,said
401,3,72,anti
406,3,74,doping
414,3,76,rules
429,3,79,violated
441,4,83,This
455,4,87,situation
475,4,90,anti
480,4,92,doping
487,4,93,rule
496,4,95,violated
513,4,99,decided
524,4,101,send
531,4,103,strong
538,4,104,message
549,4,106,Michael
568,4,109,disappointed
589,4,112,people
597,4,114,particularly
614,4,116,hundreds
626,4,118,thousands
639,4,120,USA
643,4,121,Swimming
652,4,122,member
659,4,123,kids
668,4,125,look
688,4,131,role
693,4,132,model
705,4,135,hero
715,4,139,stated
724,5,142,Michael
736,5,144,voluntarily
748,5,145,accepted
762,5,147,reprimand
780,5,150,committed
793,5,152,earn
807,5,155,trust
820,6,160,suspension
836,6,162,end
843,6,164,time
852,6,166,Phelps
862,6,168,train
876,6,171,US
879,6,172,Championships
910,6,178,held
929,6,183,July
936,7,186,Phelps
952,7,189,lost
957,7,190,sponsor
965,7,191,Kellogg
978,7,194,said
1001,7,199,renew
1011,7,201,deal
1025,7,204,swimmer
1038,7,206,month
1046,8,209,Phelps
1053,8,210,won
1059,8,212,record
1072,8,214,gold
1077,8,215,medals
1096,8,219,Olympic
1104,8,220,Games
1113,8,222,Beijing
1126,8,224,year
1164,8,233,world
1177,8,236,famous
1184,8,237,athletes
