char,sent_n,token_i,word
0,1,0,At
9,1,2,AM
12,1,3,EDT
16,1,4,today
27,1,7,Space
33,1,8,Shuttle
41,1,9,Atlantis
50,1,10,launched
66,1,13,final
72,1,14,mission
83,1,16,NASA
90,1,18,Space
96,1,19,Shuttle
104,1,20,program
129,2,26,mission
140,2,28,slated
158,2,32,days
172,2,35,deliver
180,2,36,parts
190,2,38,supplies
206,2,41,International
220,2,42,Space
226,2,43,Station
235,2,45,ISS
241,2,48,including
255,2,50,Raffaello
265,2,51,Multi
271,2,53,Purpose
279,2,54,Logistics
289,2,55,Module
303,2,58,experiment
319,2,61,Robotic
327,2,62,Refueling
337,2,63,Mission
346,2,65,RRM
352,2,68,designed
364,2,70,test
369,2,71,methods
378,2,73,tools
389,2,76,technologies
402,2,77,required
414,2,79,robotically
426,2,80,refuel
433,2,81,satellites
447,2,83,space
469,2,88,designed
484,2,91,serviced
499,3,95,launch
506,3,96,occurred
515,3,97,despite
523,3,98,weather
531,3,99,concerns
543,3,101,Kennedy
551,3,102,Space
557,3,103,Center
567,3,105,Florida
576,3,107,United
583,3,108,States
591,4,110,Although
612,4,114,short
628,4,118,half
633,4,119,minute
640,4,120,hold
652,4,123,countdown
670,4,126,seconds
684,4,128,engineers
694,4,129,worked
707,4,132,small
713,4,133,glitch
725,4,136,launch
736,4,138,flawless
747,5,141,Eight
759,5,144,half
764,5,145,minutes
778,5,147,lifting
798,5,151,final
804,5,152,time
810,5,154,Atlantis
819,5,155,reached
831,5,157,preliminary
843,5,158,orbit
850,5,160,travelling
873,5,163,miles
883,5,165,hour
896,5,167,hundreds
908,5,169,miles
924,5,172,Earth
936,6,176,crew
952,6,179,consists
974,6,183,astronauts
990,6,186,smallest
999,6,187,shuttle
1007,6,188,crew
1033,6,194,Commander
1043,6,195,Christopher
1055,6,196,Ferguson
1065,6,198,Pilot
1071,6,199,Douglas
1079,6,200,Hurley
1091,6,203,Mission
1099,6,204,Specialists
1111,6,205,Sandra
1118,6,206,Magnus
1129,6,208,Rex
1133,6,209,Walheim
1163,7,215,spaceflight
1179,7,217,Ferguson
1189,7,219,Magnus
1201,7,222,Walheim
1218,7,226,second
1229,7,228,Hurley
1238,8,231,Futhermore
1253,8,234,iPhone
1293,8,243,brought
1306,8,245,space
1312,8,246,aboard
1323,8,248,flight
1338,8,251,application
1350,8,252,developed
1368,8,255,Apple
1374,8,256,smartphone
1386,8,258,called
1393,8,259,SpaceLab
1406,8,261,iOS
1419,8,265,meant
1428,8,267,help
1437,8,269,astronauts
1448,8,270,track
1460,8,272,scientific
1471,8,273,results
1495,8,277,day
1499,8,278,aid
1506,8,280,navigation
1522,9,283,device
1537,9,286,housed
1544,9,287,inside
1553,9,289,small
1559,9,290,research
1568,9,291,platform
1577,9,292,built
1590,9,295,company
1598,9,296,NanoRacks
1613,10,299,platform
1630,10,302,placed
1637,10,303,inside
1648,10,305,ISS
1653,11,307,Along
1668,11,310,iPhone
1678,11,313,flag
1698,11,317,shuttle
1706,11,318,mission
1730,11,324,brought
1751,11,328,flight
1762,11,330,left
1767,11,331,aboard
1778,11,333,orbital
1786,11,334,outpost
1810,11,338,commercial
1821,11,339,spaceflight
1840,11,342,station
1854,11,345,NASA
1859,11,346,astronauts
1875,11,348,retrieve
1889,12,352,An
1892,12,353,estimated
1910,12,355,people
1917,12,356,crowded
1929,12,358,launch
1936,12,359,site
1944,12,361,Atlantis
1953,12,362,flexed
1965,12,365,muscles
1977,12,367,final
1983,12,368,time
1997,12,373,words
2006,12,375,NASA
2011,12,376,ascent
2018,12,377,commentator
2030,12,378,Rob
2034,12,379,Navias
2053,13,384,mission
2068,13,387,Space
2074,13,388,Shuttle
2082,13,389,program
2098,13,393,launched
2110,13,395,April
2126,14,400,Since
2142,14,404,missions
2159,14,407,years
2175,14,410,launched
2185,15,412,Out
2198,15,415,flights
2211,15,418,involved
2220,15,419,catastrophic
2233,15,420,failures
2252,15,423,Challenger
2266,15,425,January
2291,15,429,Columbia
2303,15,431,February
2323,15,435,killing
2338,15,438,board
2347,16,441,During
2358,16,443,entire
2365,16,444,shuttle
2373,16,445,program
2386,16,448,people
2401,16,451,countries
2416,16,453,flown
2426,16,455,times
2432,16,456,aboard
2443,16,458,Space
2449,16,459,Shuttle
2467,17,463,shuttle
2475,17,464,orbiters
2489,17,466,flown
2498,18,469,During
2509,18,471,career
2516,18,472,spanning
2533,18,475,years
2540,18,477,Atlantis
2549,18,478,flew
2560,18,481,flights
2569,18,483,including
2589,18,486,shuttle
2597,18,487,docking
2612,18,490,Russian
2620,18,491,Mir
2624,18,492,space
2630,18,493,station
2651,18,497,June
2672,18,502,launch
2686,18,505,camera
2693,18,506,mounted
2708,18,509,exterior
2724,18,512,external
2733,18,513,fuel
2738,18,514,tank
2757,18,518,October
2779,18,523,final
2785,18,524,servicing
2795,18,525,mission
2810,18,528,Hubble
2817,18,529,Space
2823,18,530,Telescope
2847,18,534,May
2862,19,539,final
2868,19,540,Space
2874,19,541,Shuttle
2882,19,542,launch
2889,19,543,marks
2899,19,545,end
2909,19,548,era
2917,19,550,NASA
2930,19,553,United
2937,19,554,States
2944,19,555,amid
2949,19,556,uncertainty
2971,19,559,American
2980,19,560,space
2986,19,561,program
3000,19,564,NASA
3007,19,566,future
3016,20,569,Before
3027,20,571,launch
3035,20,573,mission
3043,20,574,commander
3053,20,575,Christopher
3065,20,576,Ferguson
3081,20,579,statement
3091,20,580,conveying
3105,20,582,thoughts
3124,20,585,program
3134,20,587,end
3144,20,591,shuttle
3162,20,594,going
3176,20,598,reflection
3197,20,602,great
3203,20,603,nation
3225,20,608,dares
3237,20,611,bold
3246,20,613,commits
3257,20,615,follow
3273,21,618,We
3283,21,621,ending
3294,21,623,journey
3302,21,624,today
3318,22,628,completing
3331,22,630,chapter
3344,22,633,journey
3368,22,637,end
