char,sent_n,token_i,word
0,1,0,James
6,1,1,Lipton
18,1,4,host
26,1,6,Inside
37,1,8,Actors
44,1,9,Studio
52,1,11,mentions
68,1,14,recently
77,1,15,released
86,1,16,memoir
94,1,18,Inside
101,1,19,Inside
122,1,24,worked
134,1,27,pimp
151,1,31,living
161,1,33,France
172,2,37,This
186,2,40,I
202,2,44,young
209,2,46,living
219,2,48,Paris
226,2,50,penniless
237,2,52,unable
255,2,56,kind
263,2,58,working
271,2,59,permit
280,2,62,said
285,2,63,Lipton
294,3,66,I
302,3,69,friend
313,3,71,worked
331,3,75,called
342,3,77,Milieu
364,3,82,world
378,3,85,suggested
398,3,89,night
406,3,92,Look
425,3,98,mec
432,4,100,We
441,4,102,translate
468,4,107,pimp
474,5,109,We
482,5,111,earning
494,5,113,living
516,5,117,young
522,5,118,woman
532,5,120,I
552,5,126,good
557,5,127,living
565,5,129,I
579,7,135,He
586,7,137,spoken
630,7,147,interviewed
642,7,148,Julia
648,7,149,Roberts
660,7,151,mentioned
674,7,153,familiarity
691,7,155,prostitutes
706,8,159,I
715,8,162,set
723,8,164,record
730,8,165,straight
744,8,169,said
751,9,172,God
763,9,176,awful
774,9,178,night
785,9,180,Julia
792,10,182,I
798,10,184,dying
805,11,186,And
823,11,190,students
832,11,191,laughing
