char,sent_n,token_i,word
4,1,1,Coast
10,1,2,Guard
16,1,3,reported
25,1,4,yesterday
42,1,7,cargo
48,1,8,ship
53,1,9,laden
64,1,11,cement
71,1,12,sank
76,1,13,overnight
93,1,16,Philippines
106,1,18,killing
118,1,20,vessel
127,1,22,chief
133,1,23,engineer
143,2,25,A
145,2,26,passing
153,2,27,ship
158,2,28,rescued
189,2,35,coast
195,2,36,guard
201,2,37,rescue
208,2,38,boat
220,2,40,required
229,2,41,rescue
239,2,43,strong
246,2,44,waves
259,2,47,region
272,2,49,getting
285,2,51,difficulties
305,2,53,losing
312,2,54,contact
322,3,57,MV
325,3,58,Maria
331,3,59,Lourdes
350,3,63,vessel
367,3,67,transporting
387,3,69,bags
395,3,71,cement
407,3,73,Iligan
414,3,74,City
422,3,76,Lanao
428,3,77,del
432,3,78,Norte
446,3,81,headed
463,3,84,town
471,3,86,Occidental
482,3,87,Mindoro
499,3,90,starboard
509,3,91,main
514,3,92,engine
521,3,93,failed
529,4,95,While
535,4,96,running
555,4,100,port
560,4,101,main
565,4,102,engine
573,4,104,strong
580,4,105,waves
586,4,106,battered
599,4,108,ship
610,4,110,shortly
634,4,114,Tuesday
642,4,115,night
658,4,119,went
671,4,122,Antique
680,5,124,Chief
686,5,125,engineer
695,5,126,Alex
700,5,127,Tambasin
713,5,129,drowned
727,6,133,Coast
733,6,134,Guard
739,6,135,received
748,6,136,word
760,6,139,emergency
788,6,144,Candano
796,6,145,Shipping
805,6,146,Lines
812,7,148,Vessel
828,7,151,dispatched
842,7,153,aid
850,7,155,stricken
859,7,156,ship
873,7,160,boat
887,7,163,troubled
899,7,165,strong
906,7,166,waves
916,7,168,eventually
927,7,169,contact
939,7,171,lost
945,8,173,A
947,8,174,passing
955,8,175,ship
960,8,176,rescued
972,8,178,survivors
991,8,181,Maria
997,8,182,Lourdes
1005,8,183,instead
1015,9,186,Vessel
1029,9,189,crew
1039,9,191,located
1050,9,193,Sibay
1056,9,194,Island
1070,9,197,Philippine
1081,9,198,Air
1085,9,199,Force
1096,10,202,seven
1102,10,204,man
1106,10,205,crew
1115,10,207,abandoned
1129,10,209,boat
1137,10,211,rough
1143,10,212,seas
1152,10,214,sought
1159,10,215,refuge
1173,10,218,island
1181,11,220,They
1191,11,222,rescued
1202,11,224,helicopter
1216,11,226,Wednesday
1226,11,227,morning
