char,sent_n,token_i,word
0,1,0,A
2,1,1,day
12,1,3,general
20,1,4,elections
35,1,6,held
47,1,9,UK
51,1,11,results
59,1,12,indicate
84,1,17,hung
89,1,18,parliament
111,1,22,party
117,1,23,obtains
129,1,25,simple
136,1,26,majority
145,1,27,needed
155,1,29,pass
160,1,30,legislation
185,1,35,raising
197,1,37,prospect
211,1,40,minority
223,1,42,coalition
233,1,43,government
250,1,45,formed
270,1,49,require
278,1,50,cooperation
298,1,52,parties
308,2,55,With
322,2,58,constituency
343,2,61,counted
352,2,63,David
358,2,64,Cameron
368,2,66,Conservatives
387,2,68,taken
397,2,70,seats
404,2,72,incumbent
414,2,73,Prime
420,2,74,Minister
429,2,75,Gordon
436,2,76,Brown
444,2,78,Labour
451,2,79,party
461,2,81,seats
472,2,84,Nick
477,2,85,Clegg
492,2,88,Liberal
500,2,89,Democrats
519,3,93,Cameron
531,3,95,said
544,3,98,negotiate
570,3,102,party
579,3,104,try
587,3,106,form
594,3,108,coalition
607,3,110,attain
628,3,114,seats
638,3,117,half
656,3,121,parliament
669,4,124,After
675,4,125,Labour
684,4,127,large
690,4,128,losses
704,4,131,polls
710,4,132,yesterday
729,4,136,terms
738,4,138,seats
748,4,140,votes
755,4,142,Cameron
763,4,143,said
768,4,144,Brown
779,4,147,lost
788,4,149,mandate
799,4,151,govern
808,5,154,Clegg
826,5,158,says
834,5,160,thinks
845,5,162,result
852,5,163,allows
863,5,165,Conservatives
880,5,167,try
887,5,169,form
894,5,171,government
912,5,174,contrary
924,5,176,past
929,5,177,tradition
956,5,182,incumbent
966,5,183,prime
972,5,184,minister
989,5,187,party
1000,5,190,hung
1005,5,191,parliament
1016,5,192,try
1029,5,195,form
1036,5,197,coalition
1049,6,201,I
1054,6,203,said
1064,6,205,whichever
1074,6,206,party
1080,6,207,gets
1094,6,210,votes
1113,6,214,seats
1130,6,219,absolute
1139,6,220,majority
1163,6,225,right
1172,6,227,seek
1180,6,229,govern
1211,6,236,reaching
1233,6,240,parties
1246,6,243,I
1248,6,244,stick
1262,6,247,view
1269,6,250,Clegg
1275,6,251,said
1285,6,253,morning
1296,7,257,It
1310,7,260,morning
1333,7,265,Conservative
1346,7,266,Party
1366,7,270,votes
1381,7,273,seats
1401,7,277,absolute
1410,7,278,majority
1420,8,280,That
1432,8,283,I
1434,8,284,think
1458,8,290,Conservative
1471,8,291,Party
1480,8,293,prove
1497,8,297,capable
1508,8,299,seeking
1519,8,301,govern
1533,8,304,national
1542,8,305,interest
1554,9,309,Clegg
1560,9,310,described
1574,9,312,party
1582,9,314,performance
1598,9,317,disappointing
1624,9,321,night
1643,9,326,failed
1662,9,330,significant
1674,9,331,advances
1692,9,334,target
1699,9,335,seats
1706,10,337,Overall
1719,10,340,general
1727,10,341,swing
1733,10,342,varied
1750,10,346,parties
1758,10,347,failing
1769,10,349,gain
1788,10,353,targets
1801,10,356,suffering
1811,10,357,unexpected
1822,10,358,losses
