char,sent_n,token_i,word
0,1,0,A
2,1,1,woman
17,1,5,taking
28,1,7,road
33,1,8,test
50,1,12,licensed
59,1,13,school
66,1,14,bus
70,1,15,driver
78,1,17,crashed
88,1,19,bus
99,1,22,utility
107,1,23,pole
115,1,25,White
121,1,26,Plains
129,1,28,New
133,1,29,York
139,1,31,today
150,2,34,wreck
156,2,35,occurred
168,2,37,South
174,2,38,Kensico
182,2,39,Road
199,2,42,intersections
218,2,44,Minevera
227,2,45,Place
237,2,47,Oakley
244,2,48,Avenue
257,3,52,Journal
265,3,53,News
270,3,54,reported
288,3,57,accident
297,3,58,occurred
320,3,62,EDT
353,3,70,student
361,3,71,driver
376,3,74,examiner
394,3,77,New
398,3,78,York
403,3,79,Department
417,3,81,Motor
423,3,82,Vehicles
433,3,84,DMV
442,3,87,injured
452,4,90,According
469,4,93,Journal
477,4,94,News
486,4,96,road
495,4,98,closed
510,4,101,directions
522,5,103,Police
533,5,105,workers
550,5,108,utility
558,5,109,company
567,5,111,Con
571,5,112,Edison
591,5,117,scene
597,5,118,inspecting
612,5,120,damage
624,6,123,utility
632,6,124,pole
641,6,126,snapped
674,6,133,leaning
689,6,136,bus
695,7,139,Wikinews
704,7,140,went
716,7,143,crash
722,7,144,site
731,7,146,found
742,7,148,Con
746,7,149,Edison
753,7,150,crews
770,7,153,working
781,7,155,replace
793,7,157,pole
799,8,159,Nearly
811,8,161,hours
827,8,164,crash
836,8,167,new
840,8,168,pole
854,8,171,installed
872,8,174,old
890,8,178,held
895,8,179,parallel
919,9,184,Workers
932,9,186,transferring
949,9,188,wires
964,9,191,new
968,9,192,pole
975,10,195,Kensico
983,10,196,Road
997,10,199,reopened
1023,10,205,lane
1029,11,207,Workers
1037,11,208,let
1041,11,209,traffic
1049,11,210,pass
1054,11,211,alternating
1078,11,214,direction
1108,12,220,Ironically
1124,12,223,green
1130,12,224,sign
1143,12,227,affixed
1158,12,230,pole
1163,12,231,reads
1170,12,233,DMV
1174,12,234,test
1179,12,235,site
1184,12,236,starts
