char,sent_n,token_i,word
0,1,0,New
4,1,1,York
9,1,2,Representative
24,1,3,Eric
29,1,4,Massa
35,1,5,announced
45,1,6,Wednesday
72,1,11,stepping
89,1,14,Congressman
106,1,16,New
110,1,17,York
122,1,20,congressional
136,1,21,district
146,2,23,He
149,2,24,cited
155,2,25,health
162,2,26,reasons
178,2,29,sudden
185,2,30,announcement
199,3,32,Massa
212,3,35,latest
224,3,38,string
234,3,40,United
241,3,41,States
248,3,42,Congresspeople
266,3,44,resign
283,3,48,seek
288,3,49,reelection
310,4,54,He
313,4,55,said
340,4,61,non
344,4,63,specific
353,4,64,cancer
360,4,65,recurrence
374,4,67,December
389,5,70,He
392,5,71,implied
409,5,74,cancer
419,5,76,terminal
429,5,78,saying
437,5,80,I
448,5,83,enter
458,5,85,final
464,5,86,phase
476,5,89,life
491,5,93,controlled
502,5,94,pace
510,7,98,He
513,7,99,denied
520,7,100,claims
536,7,103,resignation
551,7,105,related
564,7,108,sexual
571,7,109,harassment
582,7,110,accusation
600,7,113,male
605,7,114,aide
611,8,116,He
614,8,117,said
633,8,121,untrue
653,8,125,admitted
674,8,129,called
682,8,131,salty
688,8,132,language
