char,sent_n,token_i,word
0,1,0,Ed
3,1,1,Stelmach
16,1,3,officially
27,1,4,sworn
48,2,9,Premier
59,2,11,Alberta
67,2,12,Thursday
77,3,14,He
84,3,16,officially
95,3,17,sworn
107,3,20,Lt
116,3,23,Norman
123,3,24,Kwong
134,3,27,public
141,3,28,ceremony
157,3,31,Alberta
165,3,32,legislature
180,3,34,Edmonton
190,3,36,Alberta
200,3,38,capital
211,4,42,Alberta
228,4,46,enviable
237,4,47,position
248,4,50,Stelmach
257,4,51,said
264,5,54,We
276,5,57,means
285,5,59,build
293,5,61,strong
300,5,62,province
313,5,64,future
323,6,68,Born
332,6,70,raised
342,6,72,Lamont
349,6,73,County
357,6,75,Alberta
378,6,80,old
382,6,81,Ukrainian
392,6,82,farmer
399,6,83,grew
412,6,87,farm
424,6,90,youngest
441,6,93,children
451,7,95,He
454,7,96,raised
470,7,99,children
486,7,102,farm
495,7,104,grandfather
507,7,105,established
522,7,107,Alberta
531,8,109,Stelmach
544,8,111,elected
552,8,112,leader
566,8,115,Alberta
574,8,116,Progressive
586,8,117,Conservative
599,8,118,Party
608,8,120,December
627,9,126,Stelmach
636,9,127,replaced
652,9,129,Alberta
660,9,130,premier
668,9,131,Ralph
674,9,132,Klein
689,9,136,Alberta
699,9,138,premier
729,9,143,Mayor
738,9,145,Calgary
748,10,148,I
759,10,151,greatest
768,10,152,respect
783,10,155,predecessor
796,10,157,Ralph
802,10,158,Klein
810,10,161,Stelmach
819,10,162,said
831,10,165,crowd
852,10,169,people
861,11,172,For
898,11,182,member
912,11,185,team
926,11,189,government
950,11,194,Albertans
964,12,199,What
969,12,200,Albertans
983,12,202,expect
1012,12,209,word
1032,12,214,open
1037,12,215,mind
1043,13,217,And
1047,13,218,I
1049,13,219,promise
1060,13,221,open
1066,13,223,inclusive
1076,13,224,Alberta
1084,13,225,government
1100,13,227,puts
1105,13,228,Albertans
1122,14,231,A
1124,14,232,government
1143,14,235,Albertans
1159,14,238,urban
1169,14,240,rural
1176,14,242,young
1186,14,244,old
1191,14,246,north
1201,14,248,south
1212,14,252,said
1219,15,255,Due
1226,15,257,Alberta
1242,15,260,major
1248,15,261,producer
1260,15,263,oil
1268,15,265,natural
1276,15,266,gas
1284,15,269,allowed
1292,15,270,Klein
1305,15,273,rid
1328,15,278,debt
1335,16,281,After
1345,16,283,microphone
1356,16,284,amplified
1366,16,285,Stelmach
1375,16,286,blowing
1387,16,288,nose
1395,16,290,apologized
1413,16,293,chuckling
1423,16,294,crowd
