char,sent_n,token_i,word
0,1,0,An
3,1,1,order
9,1,2,given
27,1,6,Treasury
36,1,7,Department
54,1,10,Sheraton
63,1,11,Hotel
72,1,13,Mexico
79,1,14,City
87,1,16,expel
96,1,18,Cuban
102,1,19,officials
112,1,20,visiting
125,1,22,capital
137,1,24,sparked
145,1,25,political
155,1,26,outrage
176,1,30,strongly
185,1,31,condemned
202,1,34,Mexican
210,1,35,government
223,2,38,Mexico
232,2,40,Foreign
240,2,41,Relations
250,2,42,Department
265,2,44,started
275,2,46,probe
285,2,48,warned
306,2,52,fine
319,2,55,close
329,2,57,hotel
345,2,61,prove
355,2,63,hotel
361,2,64,violated
370,2,65,Mexican
378,2,66,laws
389,3,70,Cuban
395,3,71,officials
405,3,72,visited
413,3,73,Mexico
425,3,75,week
433,3,77,attend
442,3,79,meeting
460,3,82,energy
467,3,83,executives
479,4,85,They
484,4,86,moved
501,4,89,Mexico
508,4,90,City
513,4,91,hotel
522,4,93,Saturday
541,4,96,Sheraton
550,4,97,Hotel
556,4,98,evicted
571,5,102,According
584,5,104,Kirby
590,5,105,Jones
597,5,107,president
621,5,112,Cuba
626,5,113,Trade
632,5,114,Association
654,5,118,Treasury
663,5,119,Department
674,5,120,pressured
688,5,122,hotel
696,5,124,owner
703,5,126,Starwood
712,5,127,Hotels
720,5,129,amp
725,5,131,Resorts
733,5,132,Worldwide
744,5,134,claiming
760,5,137,violating
777,5,140,law
786,5,142,bans
796,5,144,companies
817,5,147,business
831,5,149,Cubans
