char,sent_n,token_i,word
0,1,0,A
2,1,1,Texas
8,1,2,judge
14,1,3,handed
34,1,8,year
39,1,9,prison
46,1,10,sentence
55,1,11,today
64,1,13,Tom
68,1,14,DeLay
82,1,17,US
85,1,18,House
91,1,19,Majority
100,1,20,Leader
112,2,23,sentence
126,2,26,follow
141,2,31,conviction
155,2,33,November
167,2,35,money
173,2,36,laundering
188,2,38,conspiracy
199,2,39,charges
207,2,40,committed
226,3,44,DeLay
235,3,47,right
241,3,49,wing
246,3,50,Republican
262,3,53,considered
289,3,58,influential
301,3,59,congressman
320,3,62,history
335,3,65,United
342,3,66,States
349,3,67,House
358,3,69,Representatives
381,4,73,sentence
390,4,74,handed
405,4,77,Judge
411,4,78,Pat
415,4,79,Priest
426,4,81,originally
439,4,83,years
452,4,85,bars
458,5,87,However
467,5,89,DeLay
477,5,91,allowed
488,5,93,deduct
497,5,95,years
511,5,98,money
517,5,99,laundering
528,5,100,charge
539,5,103,exchange
555,5,106,years
564,5,108,community
574,5,109,service
583,6,111,DeLay
591,6,113,bail
600,6,115,set
625,6,121,appeal
635,6,123,pending
646,7,126,In
649,7,127,November
659,7,129,DeLay
669,7,131,convicted
682,7,133,funneling
692,7,134,hundreds
704,7,136,thousands
717,7,138,dollars
734,7,141,Texas
740,7,142,politicians
753,8,144,Although
762,8,145,DeLay
772,8,147,found
778,8,148,guilty
789,8,151,denies
800,8,153,charges
811,8,155,misconduct
824,9,158,Judge
831,9,160,I
842,9,164,remorseful
867,9,167,I
875,9,170,think
881,9,171,I
892,9,176,said
902,10,179,prosecuting
914,10,180,attorney
924,10,182,Steve
930,10,183,Brandt
937,10,184,said
947,10,186,non
951,10,188,remorseful
962,10,189,sentiment
982,10,192,cause
997,10,195,prison
1004,10,196,time
1011,10,199,He
1018,10,201,shown
1027,10,203,remorse
1039,10,206,remorse
1047,10,207,whatsoever
1060,11,209,He
1063,11,210,needs
1078,11,214,prison
1091,11,217,honor
1105,11,221,needs
1117,11,224,today
