char,sent_n,token_i,word
0,1,0,A
2,1,1,new
6,1,2,redesigned
21,1,5,bill
30,1,7,introduced
46,1,10,ceremony
55,1,11,yesterday
68,1,13,Ellis
74,1,14,Island
86,2,17,new
90,2,18,bill
95,2,19,adds
106,2,21,new
110,2,22,background
121,2,23,colors
129,2,25,red
134,2,27,yellow
145,2,29,orange
153,3,31,It
156,3,32,continues
169,3,34,feature
177,3,35,Alexander
187,3,36,Hamilton
207,3,40,Treasury
216,3,41,Secretary
235,4,46,bill
253,4,50,US
256,4,51,bill
264,4,53,switch
280,4,56,traditional
292,4,57,green
315,5,65,bills
326,5,67,redesigned
340,5,69,feature
348,5,70,color
365,5,73,past
374,5,75,years
386,6,79,improvements
402,6,81,digital
410,6,82,technology
439,6,87,easier
450,6,89,counterfeiters
467,7,92,Ten
471,7,93,years
477,7,94,ago
484,7,97,percent
496,7,100,counterfeit
509,7,102,bills
520,7,104,produced
532,7,106,digital
540,7,107,equipment
557,8,110,days
566,8,113,percent
578,8,115,produced
590,8,117,digital
598,8,118,equipment
617,8,122,technology
636,8,125,accessible
654,8,128,general
662,8,129,population
675,8,132,said
680,8,133,Eric
685,8,134,Zahren
693,8,136,spokesman
711,8,139,Secret
718,8,140,Service
728,9,143,According
745,9,146,Treasury
754,9,147,Department
772,9,151,able
785,9,154,ahead
794,9,156,counterfeiters
809,9,157,currency
823,9,159,need
831,9,161,continue
846,9,164,updated
860,9,166,seven
873,9,169,years
888,10,174,bill
902,10,177,redesigned
927,11,183,intention
948,11,187,create
957,11,189,counterfeit
969,11,191,proof
975,11,192,note
989,11,196,basically
999,11,197,impossible
1025,11,203,harder
1035,11,205,duplicate
1049,11,207,easier
1059,11,209,authenticate
1074,11,212,said
1079,11,213,Zahren
1087,12,215,This
1092,12,216,new
1096,12,217,bill
1101,12,218,includes
1115,12,220,new
1123,12,222,enhanced
1132,12,223,security
1141,12,224,features
1158,12,227,color
1164,12,229,shifting
1173,12,230,ink
1180,12,233,watermark
1191,12,235,microprinting
1211,12,238,security
1220,12,239,thread
1228,12,241,Dawn
1233,12,242,Haley
1246,12,245,Bureau
1256,12,247,Engraving
1270,12,249,Printing
1279,12,250,said
1289,12,253,statement
1304,12,256,new
1312,12,259,note
1317,12,260,design
1324,12,261,continues
1343,12,264,Government
1356,12,266,efforts
1376,12,270,currency
1385,12,271,safer
1392,12,273,smarter
1410,12,277,secure
1423,13,281,new
1431,13,284,bill
1439,13,286,expected
1459,13,290,circulation
1474,13,292,early
