char,sent_n,token_i,word
0,1,0,Iran
5,1,1,said
10,1,2,today
21,1,4,passenger
31,1,5,airliners
41,1,6,operated
53,1,8,Iranian
61,1,9,airlines
70,1,10,Iran
75,1,11,Air
83,1,13,Mahan
89,1,14,Air
104,1,17,denied
111,1,18,fuel
119,1,20,airports
131,1,22,Europe
146,1,25,Middle
153,1,26,East
160,2,29,According
176,2,32,official
192,2,35,Iranian
200,2,36,Airlines
209,2,37,Union
216,2,39,Mehdi
222,2,40,Aliyari
233,2,44,Iranian
242,2,46,planes
259,2,49,refused
267,2,50,fuel
275,2,52,airports
287,2,54,Britain
296,2,56,Germany
308,2,58,UAE
327,2,62,sanctions
337,2,63,imposed
348,2,65,America
357,3,67,Refusing
369,3,69,provide
377,3,70,fuel
385,3,72,Iranian
393,3,73,passenger
403,3,74,planes
419,3,77,countries
434,3,80,violation
447,3,82,international
461,3,83,conventions
480,4,88,sanctions
490,4,89,referenced
504,4,91,Aliyari
517,4,93,introduced
535,4,96,United
542,4,97,States
554,4,100,penalize
563,4,101,companies
579,4,103,supply
586,4,104,Iran
596,4,106,petroleum
606,4,107,products
616,5,109,It
625,5,112,known
650,5,117,sanctions
660,5,118,affect
671,5,120,fueling
682,5,122,airliners
692,5,123,outside
703,5,125,Iran
713,5,128,US
716,5,129,officials
734,5,132,clarified
746,6,135,According
763,6,138,Financial
773,6,139,Times
780,6,141,BP
787,6,143,responsible
807,6,146,refusal
818,6,148,refuel
825,6,149,Iranian
833,6,150,aircraft
843,7,152,An
846,7,153,unnamed
854,7,154,source
861,7,155,involved
877,7,158,UAE
883,7,160,airline
891,7,161,industry
900,7,162,said
915,7,168,servicing
925,7,169,company
939,7,171,provides
948,7,172,fuelling
968,7,175,airports
988,7,178,world
998,7,180,refused
1009,7,182,provide
1017,7,183,Iranian
1025,7,184,planes
1037,7,186,fuel
1043,7,188,including
1056,7,190,UAE
1060,7,191,terminals
1073,8,195,British
1081,8,196,authorities
1093,8,197,said
1107,8,200,government
1125,8,203,control
1138,8,205,refueling
1148,8,206,operations
1162,8,208,airports
1180,8,212,German
1187,8,213,transport
1197,8,214,ministry
1206,8,215,said
1220,8,218,refusal
1245,8,224,illegal
1259,8,226,European
1268,8,227,law
1274,9,230,Iran
1279,9,231,said
1292,9,234,planned
1319,9,241,ships
1329,9,243,planes
1345,9,246,countries
1360,9,248,cause
1366,9,249,problems
1386,9,254,retaliation
