char,sent_n,token_i,word
4,1,1,legislation
20,1,3,amendments
31,1,4,ensuring
44,1,6,sale
52,1,8,Australia
64,1,10,half
69,1,12,privatized
80,1,13,telecommunications
99,1,14,provider
109,1,16,Telstra
122,1,19,moved
132,1,21,debated
143,1,23,September
161,2,27,Liberal
169,2,29,National
178,2,30,coalition
188,2,31,government
203,2,33,come
214,2,35,criticism
232,2,38,allotting
245,2,40,time
254,2,42,debate
270,2,45,insufficient
285,3,48,In
288,3,49,Federal
296,3,50,Parliament
307,3,51,Leader
321,3,54,House
327,3,55,Tony
332,3,56,Abbott
339,3,57,moved
348,3,59,adjourn
356,3,60,debate
387,3,67,Labor
393,3,68,counterpart
405,3,69,Julia
411,3,70,Gillard
419,3,71,attempted
432,3,73,adjourn
444,3,75,Telstra
452,3,76,debate
465,3,78,today
476,3,81,Abbott
491,3,84,question
513,3,88,Government
526,3,90,majority
543,3,93,debate
550,3,94,onward
560,4,97,Abbott
572,4,99,moved
587,4,102,legislation
600,4,104,comprising
620,4,107,bills
630,4,110,considered
644,4,112,urgent
655,4,114,allotted
664,4,115,approximately
689,4,119,minutes
700,4,121,debate
722,5,126,Opposition
737,5,128,attempted
758,5,131,amend
768,5,133,urgency
776,5,134,motion
789,5,136,failed
803,5,139,Government
814,5,140,majority
842,5,146,divisions
859,5,149,space
868,5,151,approximately
882,5,152,half
890,5,154,hour
906,5,158,failed
914,6,160,Gillard
926,6,162,Dick
931,6,163,Adams
941,6,165,called
952,6,167,process
963,6,170,disgrace
982,6,175,amendments
994,6,177,negotiated
1005,6,178,earlier
1016,6,180,Senator
1024,6,181,Barnaby
1032,6,182,Joyce
1044,6,185,termed
1057,6,189,Backdown
1066,6,190,Barnaby
1075,6,192,bribe
1085,6,195,Stephen
1093,6,196,Smith
1110,6,199,Deputy
1117,6,200,Speaker
1125,6,201,Ian
1129,6,202,Causley
1137,6,203,asked
1150,6,206,withdraw
1161,7,209,Whilst
1172,7,211,Government
1190,7,214,absolute
1199,7,215,majority
1215,7,218,Australian
1226,7,219,Senate
1244,7,224,guaranteed
1264,7,227,necessary
1274,7,228,legislation
1291,7,230,pass
1301,7,232,house
1308,8,234,Garnering
1322,8,236,support
1333,8,238,key
1337,8,239,Senator
1345,8,240,Joyce
1354,8,242,critical
1366,8,244,ensure
1382,8,247,bills
1393,8,249,pass
1419,8,256,deciding
1428,8,257,vote
1453,8,263,stated
1475,8,269,damning
1483,8,270,report
1490,8,271,released
1499,8,272,earlier
1514,8,275,House
1523,8,277,Representatives
1539,8,278,showing
1552,8,280,fourteen
1561,8,281,percent
1572,8,283,lines
1583,8,285,faulty
1604,8,288,criticism
1627,8,293,turned
1639,8,296,green
1646,8,298,light
1656,8,301,amber
1665,9,304,Joyce
1675,9,306,crucial
1686,9,308,defeating
1698,9,310,Senate
1705,9,311,Opposition
1716,9,312,motion
1726,9,314,delay
1732,9,315,debate
1745,9,317,October
1779,9,324,agreed
1795,9,327,time
1804,9,329,debate
1821,9,332,extended
1834,9,335,stated
1847,9,338,interview
1864,9,341,AM
1867,9,342,program
1878,9,344,ABC
1882,9,345,Radio
1888,9,346,National
1905,9,349,voted
1923,9,352,motion
1936,9,355,believed
1945,9,356,crossing
1958,9,358,floor
1970,9,360,destroy
1983,9,363,political
1993,9,364,capital
2012,9,369,enable
2034,9,373,negotiate
2044,9,374,improvements
2064,9,377,Telstra
2072,9,378,deal
2092,9,382,party
