char,sent_n,token_i,word
0,1,0,Ecuador
10,1,2,ousted
17,1,3,President
27,1,4,Lucio
33,1,5,Gutiérrez
50,1,8,Ecuadorian
61,1,9,Congress
80,1,13,Brazilian
90,1,14,embassy
101,1,16,Quito
108,2,18,He
111,2,19,obtained
124,2,21,political
134,2,22,asylum
148,2,25,Brazilian
158,2,26,government
172,3,29,In
177,3,31,note
187,3,34,Brazilian
197,3,35,government
208,3,36,declared
221,3,38,accompanying
234,3,39,concerns
247,3,41,political
257,3,42,events
267,3,44,Ecuador
276,3,46,expecting
288,3,48,peaceful
297,3,49,solution
313,3,52,political
323,3,53,crisis
336,4,57,president
349,4,59,Brazil
357,4,61,Luiz
362,4,62,Inácio
369,4,63,Lula
374,4,64,da
377,4,65,Silva
384,4,67,determined
399,4,69,Department
413,4,71,Justice
428,4,73,authorize
442,4,75,political
452,4,76,asylum
462,4,78,Gutiérrez
473,5,80,According
490,5,83,Brazilian
500,5,84,Ministry
512,5,86,External
521,5,87,Relations
532,5,89,Sérgio
539,5,90,Florêncio
549,5,91,Sobrinho
561,5,93,acting
575,5,96,Brazilian
585,5,97,ambassador
599,5,99,Ecuador
614,5,102,negotiating
635,5,105,government
649,5,107,Ecuador
661,5,109,Gutiérrez
674,5,111,leave
684,5,113,country
692,5,114,safely
702,6,117,At
718,6,120,Thursday
730,6,123,Brazilian
740,6,124,Air
744,6,125,Force
751,6,127,FAB
756,6,129,airplane
765,6,130,took
781,6,134,air
785,6,135,base
793,6,137,Brasilia
807,6,140,capital
818,6,142,Brazil
830,7,145,airplane
839,7,146,flew
847,7,148,Rio
851,7,149,Branco
862,7,152,Acre
867,7,153,State
874,8,155,It
882,8,157,remain
889,8,158,ready
898,8,160,Rio
902,8,161,Branco
911,8,163,airport
925,8,165,Gutiérrez
942,8,168,authorized
956,8,170,leave
962,8,171,Ecuador
972,9,174,On
975,9,175,Wednesday
986,9,177,Gutiérrez
1000,9,179,removed
1015,9,182,Ecuadorian
1026,9,183,Congress
1048,9,187,violent
1056,9,188,crackdown
1069,9,190,Quito
1076,9,192,protesting
1095,9,194,Guitiérrez
1110,9,196,demanding
1124,9,198,resignation
1137,10,200,It
1144,10,202,reported
1171,10,207,person
1182,10,209,killed
1200,10,212,protests
1211,11,215,Alfredo
1219,11,216,Palacio
1228,11,218,Gutierrez
1240,11,220,vice
1245,11,222,president
1263,11,226,new
1267,11,227,president
1280,11,229,Ecuador
