char,sent_n,token_i,word
4,1,1,NASA
9,1,2,Space
15,1,3,Shuttle
23,1,4,Discovery
33,1,5,roared
49,1,8,Florida
57,1,9,sky
72,1,12,ET
82,1,15,UTC
90,1,19,weeks
106,1,22,launch
117,1,24,scrubbed
135,1,28,faulty
142,1,29,sensor
154,2,32,launch
169,2,35,start
190,2,39,mission
208,2,43,planned
222,2,46,completed
235,2,48,August
257,3,54,Solid
263,3,55,rocket
270,3,56,booster
278,3,57,separation
293,3,59,triggered
307,3,61,minutes
324,3,64,seconds
341,3,67,flight
354,3,69,burnout
369,3,72,putty
375,3,74,like
380,3,75,fuel
385,3,76,packed
392,3,77,inside
404,3,79,rocket
416,4,82,firing
426,4,84,explosive
436,4,85,bolts
442,4,86,freed
452,4,88,twin
457,4,89,boosters
487,4,95,external
496,4,96,tank
502,4,98,allowing
519,4,101,peel
524,4,102,away
538,4,105,space
544,4,106,shuttle
553,5,108,Parachutes
574,5,111,automatically
588,5,112,deployed
606,5,115,boosters
616,5,117,allowing
633,5,120,slowly
640,5,121,descend
657,5,124,Atlantic
666,5,125,Ocean
691,5,130,towed
705,5,133,shore
719,6,136,Discovery
729,6,137,initiated
743,6,139,command
755,6,141,main
760,6,142,engine
767,6,143,cutoff
778,6,146,MECO
811,6,153,mark
817,7,155,MECO
822,7,156,shuts
837,7,159,orbiter
853,7,162,powerful
862,7,163,engines
877,7,166,rear
885,7,168,Discovery
901,7,170,completing
917,7,173,uphill
925,7,175,climb
936,7,177,space
944,8,180,With
953,8,182,ascent
965,8,184,space
971,8,185,complete
984,8,187,fuel
996,8,190,external
1005,8,191,tank
1010,8,192,exhausted
1021,8,194,Discovery
1031,8,195,jettisoned
1046,8,197,orange
1053,8,198,canister
1063,9,200,Following
1073,9,201,jettison
1083,9,203,Commander
1093,9,204,Eileen
1100,9,205,Collins
1108,9,206,pitched
1120,9,208,orbiter
1141,9,212,tank
1155,9,215,sighted
1186,9,219,upper
1192,9,220,windows
1201,10,222,Mission
1209,10,223,Specialist
1220,10,224,Soichi
1227,10,225,Noguchi
1240,10,227,took
1245,10,228,digital
1253,10,229,photographs
1269,10,231,video
1282,10,234,external
1291,10,235,tank
1303,10,238,distance
1326,10,242,feet
