char,sent_n,token_i,word
0,1,0,Chicago
8,1,1,Transit
16,1,2,Authority
27,1,4,CTA
32,1,6,riders
46,1,9,subway
53,1,10,portions
69,1,13,Red
77,1,15,Blue
82,1,16,lines
96,1,19,relief
110,1,22,slow
115,1,23,zone
127,1,26,coming
134,1,27,months
142,2,29,So
145,2,31,called
153,2,33,slow
158,2,34,zones
169,2,37,locations
185,2,39,trains
192,2,40,travel
202,2,42,restricted
213,2,43,speeds
231,2,46,track
237,2,47,work
245,2,49,deteriorating
259,2,50,conditions
276,3,54,CTA
283,3,56,putting
291,3,57,nearly
304,3,60,millions
321,3,62,renovation
349,3,67,Clark
355,3,69,Lake
360,3,70,portion
375,3,73,Blue
380,3,74,Line
389,3,76,Chicago
400,3,78,Belmont
408,3,79,portions
424,3,82,Red
428,3,83,Line
434,4,85,Work
444,4,87,happen
462,4,90,peak
471,4,92,overnight
481,4,93,hours
492,5,96,CTA
496,5,97,says
510,5,100,track
516,5,101,operations
531,5,103,delays
542,5,105,occur
551,6,109,We
559,6,111,heard
569,6,113,customers
580,6,115,frustration
597,6,117,slow
602,6,118,zones
612,6,120,today
625,6,123,acting
635,6,125,address
649,6,127,concerns
662,6,131,said
667,6,132,Chicago
675,6,133,Transit
683,6,134,Board
689,6,135,chairperson
701,6,136,Carole
708,6,137,Brown
716,7,140,I
721,7,142,pleased
741,7,146,able
749,7,148,leverage
758,7,149,existing
767,7,150,contracts
780,7,152,begin
791,7,154,work
800,7,156,I
802,7,157,look
807,7,158,forward
818,7,160,working
831,7,162,state
837,7,163,lawmakers
850,7,165,increase
859,7,166,transit
867,7,167,investment
881,7,169,bring
891,7,171,entire
898,7,172,system
910,7,175,state
919,7,177,good
924,7,178,repair
