char,sent_n,token_i,word
0,1,0,Senator
8,1,1,Jay
12,1,2,Rockefeller
25,1,4,D
29,1,7,great
35,1,9,grandson
47,1,11,oil
51,1,12,tycoon
58,1,13,John
66,1,15,Rockefeller
82,1,17,chairman
98,1,20,Senate
105,1,21,Intelligence
118,1,22,Committee
129,1,24,said
139,1,26,President
149,1,27,Bush
157,1,30,Iraq
162,1,31,adventure
177,1,34,draining
186,1,35,funds
197,1,37,homeland
206,1,38,security
225,1,41,domestic
234,1,42,priorities
253,1,45,education
264,1,47,health
271,1,48,care
281,1,51,environment
296,2,54,Rockefeller
313,2,56,added
331,2,60,concerned
350,2,63,Bush
355,2,64,administration
374,2,66,going
390,2,69,military
399,2,70,confrontation
418,2,72,Iran
424,3,74,He
427,3,75,said
434,3,78,Do
437,3,79,I
439,3,80,think
450,3,83,possible
468,3,86,president
491,3,90,involved
500,3,91,marginally
524,3,95,fully
533,3,97,Iran
543,3,100,way
550,3,102,distracting
574,3,106,war
581,3,108,terror
598,3,112,Iraq
609,3,116,way
616,3,118,getting
624,3,119,past
633,3,121,elections
652,4,125,I
660,4,128,want
668,4,130,believe
682,5,133,But
697,5,136,I
730,5,144,yes
735,5,146,I
737,5,147,worry
752,5,150,enormously
