char,sent_n,token_i,word
4,1,1,High
9,1,2,Court
18,1,4,Australia
32,1,6,overturned
43,1,7,legislation
55,1,8,enacted
70,1,11,Howard
77,1,12,government
93,1,14,year
104,1,16,banned
115,1,18,gaol
120,1,19,inmates
133,1,21,voting
143,1,23,federal
151,1,24,elections
166,2,27,court
172,2,28,ruled
181,2,30,majority
199,2,33,previous
208,2,34,legislation
226,2,36,banned
244,2,39,serving
252,2,40,sentences
262,2,41,longer
280,2,44,years
292,2,46,remain
305,3,50,case
322,3,53,amendments
337,3,55,bought
351,3,58,court
363,3,61,Aboriginal
374,3,62,inmate
382,3,64,Vickie
389,3,65,Roache
407,3,70,inmate
421,3,73,Dame
426,3,74,Phyllis
434,3,75,Frost
440,3,76,Women
448,3,78,Prison
458,3,80,Victoria
468,4,82,She
476,4,84,represented
491,4,86,Philip
498,4,87,Lynch
505,4,89,director
521,4,92,Victorian
531,4,93,Human
537,4,94,Rights
544,4,95,Law
548,4,96,Resource
557,4,97,Centre
565,5,99,He
568,5,100,described
578,5,101,Ms
581,5,102,Roache
591,5,104,educated
601,5,106,articulate
616,5,108,deeply
623,5,109,committed
640,5,112,rights
650,5,114,prisoners
664,5,116,indigenous
675,5,117,Australians
691,6,121,Vickie
702,6,123,stood
728,6,129,human
734,6,130,rights
744,6,132,prisoners
758,6,134,Aboriginal
769,6,135,Australians
790,6,139,interests
807,6,142,entire
814,6,143,community
825,7,145,She
846,7,150,courage
855,7,152,integrity
869,7,154,commitment
885,7,158,said
893,8,161,Lawyers
901,8,162,argued
917,8,165,amendments
935,8,168,Commonwealth
948,8,169,Electoral
958,8,170,Act
970,8,173,violation
987,8,176,Constitution
1006,8,178,states
1022,8,181,parliament
1043,8,186,directly
1052,8,187,chosen
1066,8,190,people
1076,9,194,Ms
1079,9,195,Roache
1088,9,197,challenge
1101,9,199,previous
1110,9,200,laws
1121,9,202,banned
1128,9,203,inmates
1136,9,204,serving
1144,9,205,terms
1150,9,206,longer
1168,9,209,years
1178,9,211,unsuccessful
1201,9,215,court
1207,9,216,upholding
1227,10,220,court
1241,10,222,ordered
1249,10,223,Ms
1252,10,224,Roache
1262,10,226,pay
1266,10,227,half
1275,10,229,court
1283,10,231,costs
1291,11,234,There
1313,11,240,comment
1328,11,243,federal
1336,11,244,government
1352,11,247,release
1360,11,248,detailing
1374,11,250,reasons
1393,11,253,courts
1400,11,254,decision
