char,sent_n,token_i,word
0,1,0,An
3,1,1,upsurge
14,1,3,violence
26,1,5,East
31,1,6,Timor
50,1,10,United
57,1,11,Nations
65,1,12,evacuate
74,1,13,hundreds
86,1,15,staff
92,1,16,members
104,1,18,families
122,1,21,country
133,2,24,Sukehiro
142,2,25,Hasegawa
156,2,28,Special
164,2,29,Representative
182,2,31,Secretary
192,2,33,General
200,2,34,Kofi
205,2,35,Annan
214,2,37,Dili
219,2,38,said
226,2,41,A
228,2,42,temporary
238,2,43,relocation
253,2,45,non
257,2,47,essential
267,2,48,staff
285,2,52,judicious
295,2,53,choice
310,2,56,time
322,3,61,decision
331,3,62,comes
347,3,65,Australian
358,3,67,led
362,3,68,peacekeeping
375,3,69,operation
393,3,72,East
398,3,73,Timorese
407,3,74,government
418,3,75,struggled
431,3,77,contain
439,3,78,unrest
449,3,80,Dili
459,3,83,country
469,3,85,capital
480,4,88,Gang
485,4,89,members
499,4,92,wielding
508,4,93,machetes
528,4,97,fighting
543,4,99,ethnic
550,4,100,lines
557,5,102,There
577,5,106,looting
589,5,108,buildings
609,5,111,razed
618,6,114,Staff
624,6,115,members
636,6,117,families
653,6,120,relocated
666,6,122,Darwin
674,6,124,Australia
685,7,126,Over
694,7,128,United
701,7,129,Nations
709,7,130,staff
720,7,132,remain
730,7,134,East
735,7,135,Timor
741,7,136,awaiting
754,7,138,arrival
770,7,141,Australian
781,7,142,peacekeeping
794,7,143,forces
807,8,147,peacekeeping
820,8,148,operation
830,8,149,began
845,8,152,appeal
859,8,155,government
874,8,157,international
888,8,158,help
894,9,160,Australian
905,9,161,forces
928,9,166,multinational
942,9,167,force
953,9,169,numbers
971,9,172,military
980,9,173,personnel
997,10,177,peacekeepers
1026,10,182,directly
1035,10,183,engage
1045,10,185,combat
1053,11,187,This
1058,11,188,brought
1066,11,189,confusion
1085,11,192,child
1095,11,194,said
1102,11,197,Why
1117,11,201,Australians
1152,12,208,Australian
1163,12,209,Prime
1169,12,210,Minister
1178,12,211,John
1183,12,212,Howard
1190,12,213,said
1197,12,216,It
1204,12,219,trickier
1213,12,220,operation
1233,12,223,people
1240,12,224,think
1261,12,228,assume
1285,12,234,simple
1292,12,235,walk
1304,12,241,park
1309,12,242,military
1318,12,243,operation
1342,12,248,challenging
