char,sent_n,token_i,word
4,1,1,miles
17,1,4,Trans
23,1,6,Alaska
30,1,7,Pipeline
39,1,8,System
51,1,10,closed
63,1,12,following
75,1,14,spill
84,1,16,thousands
97,1,18,barrels
108,1,20,crude
114,1,21,oil
118,1,22,south
127,1,24,Fairbanks
138,1,26,Alaska
146,2,28,A
148,2,29,power
154,2,30,failure
162,2,31,following
174,2,33,routine
182,2,34,fire
187,2,36,command
195,2,37,system
202,2,38,test
207,2,39,caused
214,2,40,relief
221,2,41,valves
231,2,43,open
240,2,45,crude
246,2,46,oil
250,2,47,overflowed
261,2,48,near
270,2,50,Fort
275,2,51,Greely
282,2,52,pump
287,2,53,station
302,3,57,valves
309,3,58,opening
317,3,59,allowed
327,3,61,pressure
336,3,62,release
352,3,65,system
363,3,67,oil
367,3,68,flowed
379,3,71,pad
388,3,74,tank
402,3,77,hold
414,3,79,barrels
427,3,82,million
435,3,83,gallons
445,4,86,As
451,4,88,Wednesday
461,4,89,afternoon
476,4,92,tank
481,4,93,vents
498,4,96,leaking
506,4,97,probably
520,4,99,thermal
528,4,100,expansion
538,4,101,inside
549,4,103,tank
555,5,105,Another
563,5,106,secondary
573,5,107,containment
585,5,108,area
600,5,111,tanks
606,5,112,capable
617,5,114,holding
633,5,116,barrels
653,5,120,filled
663,5,122,capacity
679,6,126,spill
685,6,127,coordinator
705,6,130,Department
719,6,132,Environmental
733,6,133,Conservation
747,6,135,Tom
751,6,136,DeRuter
760,6,138,said
774,6,141,oil
778,6,142,spill
784,6,143,contamination
808,6,146,confined
824,6,149,graveled
833,6,150,oil
837,6,151,containment
849,6,152,liner
857,7,155,Safety
873,7,158,No
879,7,161,objective
889,7,162,right
900,8,165,As
903,8,166,soon
917,8,170,safe
955,8,180,power
968,8,183,try
986,8,187,tank
996,9,190,As
999,9,191,long
1029,9,197,liner
1039,9,200,gives
1048,9,202,time
1055,9,205,DeRuter
1063,9,206,explained
1078,10,210,people
1094,10,213,evacuated
1113,10,216,Fort
1118,10,217,Greely
1125,10,218,site
1139,10,222,Prudhoe
1147,10,223,Bay
1151,10,224,station
1168,10,227,reduced
1185,11,233,We
1191,11,235,going
1208,11,239,long
1219,11,242,need
1232,11,245,sure
1241,11,247,site
1249,11,249,safe
1264,11,252,start
1280,11,257,said
1285,11,258,Alyeska
1293,11,259,Pipeline
1302,11,260,Service
1310,11,261,Company
1318,11,262,spokesperson
1331,11,263,Michele
1339,11,264,Egan
1345,12,266,There
1354,12,268,capacity
1366,12,270,reserve
1374,12,271,tanks
1387,12,274,hours
1405,12,277,slow
1418,12,280,production
1431,13,283,About
1445,13,285,barrels
1457,13,287,day
1461,13,288,run
1477,13,291,Trans
1483,13,293,Alaska
1490,13,294,Pipeline
1507,13,296,Prudhoe
1515,13,297,Bay
1526,13,300,Port
1534,13,302,Valdez
1541,13,303,oil
1545,13,304,tankers
1558,14,307,majority
1570,14,309,shares
1580,14,311,Alyeska
1592,14,313,held
1600,14,315,BP
1603,14,316,Exploration
1616,14,318,Alaska
1624,14,320,BPXA
1644,14,325,currently
1654,14,326,addressing
1669,14,328,Deepwater
1679,14,329,Horizon
1687,14,330,oil
1691,14,331,spill
1704,14,334,Gulf
1712,14,336,Mexico
1721,15,339,BP
1724,15,340,addressed
1744,15,343,gallon
1751,15,344,crude
1757,15,345,oil
1761,15,346,spill
1770,15,348,Prudhoe
1778,15,349,Bay
1783,15,351,Alaska
1798,15,354,resulting
1813,15,357,lawsuit
1829,15,359,BP
1832,15,360,Exploration
