char,sent_n,token_i,word
0,1,0,A
2,1,1,court
11,1,3,Perth
18,1,5,Western
26,1,6,Australia
39,1,8,set
46,1,10,deliver
56,1,12,verdict
78,1,16,Islamic
86,1,17,woman
96,1,19,testify
110,1,21,wearing
120,1,23,Burqa
131,2,26,woman
142,2,29,claims
157,2,33,devout
164,2,34,Muslim
172,2,36,wishes
195,2,41,face
203,2,43,men
211,2,45,says
233,2,50,uncomfortable
257,2,54,sufficient
268,2,55,testimony
281,2,57,uncovered
311,2,63,people
325,2,66,courtroom
337,3,69,District
346,3,70,court
352,3,71,judge
358,3,72,Shaun
364,3,73,Dean
369,3,74,received
378,3,75,submissions
404,3,79,prosecution
424,3,82,defence
432,3,83,lawyers
447,3,86,case
461,3,89,woman
471,3,91,set
478,3,93,testify
490,3,96,requesting
510,3,99,woman
526,3,102,allowed
537,3,104,tesify
551,3,107,traditional
563,3,108,coverings
576,3,110,forced
610,4,118,Muslim
617,4,119,Ladies
624,4,120,College
635,4,122,Australia
653,4,125,director
663,4,127,Anwar
669,4,128,Sayed
681,4,131,accused
692,4,133,acquiring
707,4,135,federal
719,4,137,state
725,4,138,funding
738,4,141,fraudulent
749,4,142,manner
781,4,149,woman
791,4,151,expected
803,4,153,testify
826,5,158,Defence
834,5,159,lawyers
842,5,160,claim
853,5,162,valuable
862,5,163,facial
869,5,164,cues
883,5,167,lost
891,5,169,hidden
907,5,172,jury
919,5,175,woman
932,5,178,wear
941,5,180,Burqa
960,5,184,stand
967,6,186,Prosecutors
979,6,187,stated
998,6,191,woman
1008,6,193,expected
1020,6,195,remove
1031,6,197,covering
1058,6,203,called
1070,6,206,witness
1080,7,209,It
1086,7,211,speculated
1113,7,216,case
1125,7,219,kind
1133,7,221,Australia
1151,7,224,set
1157,7,226,legal
1163,7,227,precedent
1177,7,229,future
1184,7,230,situations
