char,sent_n,token_i,word
0,1,0,Shortly
14,1,2,midnight
24,1,4,UTC
36,1,9,Israeli
44,1,10,Air
48,1,11,Force
55,1,13,IAF
60,1,15,attacked
77,1,17,Hamas
83,1,18,targets
94,1,20,Gaza
104,2,23,attack
118,2,26,reaction
134,2,29,rocket
145,2,31,mortar
152,2,32,attack
162,2,34,Israel
169,2,35,today
176,3,37,No
179,3,38,injuries
191,3,40,fatalities
207,3,42,reported
218,4,45,One
229,4,48,buildings
249,4,51,attacked
264,4,54,ammunition
275,4,55,warehouse
288,4,57,Khan
293,4,59,Yunus
321,4,65,office
335,4,68,Hamas
348,4,71,Jabalia
356,4,72,refugee
364,4,73,camp
374,4,76,Israeli
382,4,77,Defense
390,4,78,Forces
398,4,80,IDF
403,4,82,reported
414,5,85,Six
418,5,86,missiles
432,5,88,fired
443,5,90,helicopter
454,5,91,gunships
464,5,93,according
477,5,95,Palestinian
489,5,96,sources
502,6,99,missiles
514,6,101,Jebalia
527,6,103,fired
538,6,106,Hamas
544,6,107,religion
553,6,108,studies
561,6,109,center
588,6,114,fired
599,6,117,rocket
606,6,118,launch
613,6,119,site
618,6,120,near
627,6,122,Khan
632,6,124,Yunus
638,6,125,cemetery
648,7,127,A
656,7,129,firing
679,7,134,building
695,7,137,Deir
700,7,138,el
703,7,140,Balah
709,7,141,area
716,8,144,Electric
725,8,145,power
735,8,147,lost
743,8,149,wide
748,8,150,parts
757,8,152,Gaza
768,9,156,IDF
776,9,158,decided
787,9,160,divide
798,9,162,Gaza
803,9,163,Strip
820,9,166,parts
829,9,168,order
838,9,170,prevent
850,9,172,passage
861,9,174,weapons
873,9,176,militants
891,9,178,different
901,9,179,parts
914,9,182,strip
921,10,184,This
939,10,188,time
947,10,190,months
963,10,193,IDF
971,10,195,taken
984,10,198,step
1001,10,203,burden
1015,10,206,Palestinian
1027,10,207,civil
1033,10,208,population
