char,sent_n,token_i,word
0,1,0,After
10,1,2,Supreme
18,1,3,Court
24,1,4,ruling
36,1,6,June
55,1,12,White
61,1,13,House
71,1,15,announced
107,1,22,detainees
121,1,24,entitled
137,1,27,protection
148,1,28,Article
165,1,32,Geneva
172,1,33,Conventions
185,1,35,including
199,1,37,detainees
221,1,41,naval
227,1,42,base
235,1,44,Guantanamo
246,1,45,Bay
255,2,48,Supreme
263,2,49,Court
269,2,50,ruled
284,2,53,system
294,2,55,military
303,2,56,tribunals
313,2,57,set
335,2,63,Guantanamo
350,2,65,illegal
363,3,68,announcement
376,3,69,came
386,3,71,hours
399,3,73,Congress
408,3,74,debates
423,3,77,change
434,3,79,military
443,3,80,tribunals
456,3,82,comply
472,3,85,court
478,3,86,ruling
487,4,89,After
493,4,90,September
516,4,95,Bush
521,4,96,administration
536,4,97,argued
554,4,100,captured
582,4,106,global
590,4,108,war
597,4,110,terror
610,4,114,illegal
618,4,115,enemy
624,4,116,combatants
648,4,120,prisoners
661,4,122,war
667,5,125,United
674,5,126,States
681,5,127,attorney
690,5,128,general
698,5,129,Alberto
706,5,130,Gonzalez
715,5,131,argued
735,5,135,fighting
748,5,137,war
755,5,139,terror
762,5,140,requires
771,5,141,new
775,5,142,techniques
799,5,146,Geneva
806,5,147,Conventions
823,5,150,obsolete
835,6,154,White
841,6,155,House
847,6,156,press
853,6,157,secretary
863,6,158,Tony
868,6,159,Snow
873,6,160,denied
889,6,163,announcement
902,6,164,constitutes
916,6,166,major
922,6,167,shift
931,6,169,policy
941,7,173,It
960,7,178,reversal
972,7,180,policy
980,8,182,Humane
987,8,183,treatment
1017,8,188,standard
1031,8,192,said
