char,sent_n,token_i,word
0,1,0,Eleven
7,1,1,residents
23,1,4,apartment
33,1,5,building
49,1,8,Christian
59,1,9,neighborhood
75,1,11,New
79,1,12,Jdeideh
88,1,14,located
99,1,16,northern
108,1,17,Beirut
116,1,19,Lebanon
130,1,22,injured
144,1,25,explosion
165,1,28,midnight
174,1,29,local
180,1,30,time
191,2,34,explosion
205,2,36,caused
217,2,39,bomb
222,2,40,placed
229,2,41,underneath
242,2,43,car
255,2,46,parked
262,2,47,near
277,2,51,story
283,2,52,building
292,2,53,inhabited
309,2,56,injured
322,2,59,left
329,2,61,seven
335,2,63,foot
340,2,65,deep
345,2,66,hole
357,2,69,ground
369,3,72,building
382,3,74,ruined
396,3,77,blast
408,4,81,Lebanese
417,4,82,army
422,4,83,responded
439,4,86,tighter
447,4,87,security
456,4,88,policy
470,5,93,army
484,5,96,allow
495,5,98,freedom
506,5,100,expression
520,5,102,abused
530,5,104,order
539,5,106,harm
544,5,107,security
557,5,109,stability
569,5,112,declared
582,5,114,military
591,5,115,statement
603,6,118,Lebanese
612,6,119,President
629,6,121,Lahoud
636,6,122,decided
651,6,125,attend
662,6,127,upcoming
671,6,128,Arab
676,6,129,summit
688,6,132,appealed
701,6,134,talks
710,6,136,avoid
716,6,137,religious
726,6,138,violence
738,7,142,Car
742,7,143,bomb
747,7,144,messages
763,7,147,threaten
776,7,149,national
785,7,150,unity
793,7,153,said
798,7,154,opposition
809,7,155,leader
816,7,156,Walid
822,7,157,Jumblatt
832,7,159,speaking
850,7,162,mountain
859,7,163,palace
869,7,165,Mukhtara
