char,sent_n,token_i,word
4,1,1,preliminary
16,1,2,hearing
30,1,5,lawsuit
38,1,6,filed
56,1,9,Elmwood
64,1,10,Village
72,1,11,Hotel
78,1,12,proposal
90,1,14,Buffalo
99,1,16,New
103,1,17,York
123,1,22,City
131,1,24,Buffalo
148,1,27,postponed
158,1,28,indefinitely
185,1,32,place
195,1,35,needed
203,1,37,pending
215,1,39,resubmission
235,1,42,proposal
247,1,44,Savarino
256,1,45,Construction
277,1,48,Buffalo
286,2,50,A
288,2,51,request
308,2,55,New
312,2,56,York
317,2,57,State
323,2,58,Supreme
331,2,59,court
337,2,60,Judge
343,2,61,Justice
351,2,62,Rose
356,2,63,Sconiers
370,2,66,judge
379,2,68,preside
396,2,71,case
405,2,74,discuss
416,2,77,timetable
431,2,80,resubmission
453,2,84,court
460,2,86,decided
477,2,91,said
482,2,92,attorney
491,2,93,Arthur
498,2,94,Giacalone
512,2,96,represents
527,2,98,plaintiffs
545,2,101,lawsuit
559,3,105,hotel
571,3,107,require
583,3,109,demolition
611,3,114,properties
633,3,119,Elmwood
651,3,122,cause
661,3,124,closure
680,3,127,businesses
692,4,129,Already
705,4,132,businesses
717,4,134,Skunk
723,4,135,Tail
728,4,136,Glass
738,4,138,Six
742,4,139,Nations
750,4,140,Native
757,4,141,American
766,4,142,Gift
771,4,143,Shop
781,4,145,relocated
792,4,147,outside
804,4,149,Elmwood
812,4,150,Strip
819,5,152,Don
823,5,153,apparel
839,5,156,Tattoo
850,5,158,Mondo
856,5,159,Video
868,5,161,remain
878,5,163,Elmwood
896,5,167,Mondo
902,5,168,Video
911,5,170,planning
923,5,172,moving
935,5,175,new
939,5,176,location
953,6,179,hotel
970,6,183,rooms
985,6,186,cost
1001,6,190,million
1009,6,191,dollars
1020,6,193,build
1027,7,195,Wyndham
1035,7,196,Hotels
1045,7,198,expected
1064,7,202,owner
1070,7,204,operator
1086,7,207,hotel
1097,8,210,properites
1112,8,212,currently
1122,8,213,owned
1131,8,215,Hans
1136,8,216,Mobius
1144,9,218,Two
1154,9,220,properties
1178,9,225,Forest
1211,9,232,proposal
1225,10,235,Forest
1235,10,237,owned
1244,10,239,Pano
1249,10,240,Georgiadis
1261,10,242,owner
1270,10,244,Pano
1277,10,246,Restaurant
1291,10,248,Elmwood
1299,10,249,Avenue
1309,10,251,Buffalo
1322,11,254,Forest
1332,11,256,owned
1341,11,258,Mobius
1351,12,262,There
1362,12,265,new
1367,12,267,court
1374,12,269,date
1389,13,273,appearance
1411,13,277,needed
1420,13,280,said
1425,13,281,Giacalone
1441,14,285,proposal
1454,14,287,withdrawn
1467,14,289,Savarino
1479,14,291,July
1496,14,296,undergo
1520,14,304,according
