char,sent_n,token_i,word
4,1,1,parliament
18,1,3,Indonesia
32,1,5,approved
41,1,6,government
52,1,7,plans
69,1,11,Initial
77,1,12,Public
84,1,13,Offering
94,1,15,IPO
102,1,18,shares
118,1,21,major
124,1,22,state
130,1,24,owned
136,1,25,firms
143,1,27,privatising
161,2,30,They
170,2,32,steelmaker
181,2,33,Krakatau
190,2,34,Steel
197,2,36,Bank
202,2,37,Tabungan
211,2,38,Negara
219,2,40,BTN
228,2,43,national
237,2,44,flag
242,2,45,carrier
250,2,46,Garuda
257,2,47,Indonesia
273,3,51,parliament
288,3,53,left
297,3,55,process
305,3,56,fully
318,3,59,hands
331,3,62,government
351,3,66,set
359,3,68,maximum
367,3,69,stake
379,3,72,sold
395,3,77,BTN
403,3,79,Krakatau
425,3,85,Garuda
433,4,87,Although
442,4,88,Indonesia
461,4,91,known
470,4,93,fund
475,4,94,budget
482,4,95,deficits
496,4,97,privatisation
515,4,100,intention
536,4,104,funds
552,4,107,scheme
572,4,112,businesses
597,4,115,allow
603,4,116,expansion
615,5,119,Krakatau
624,5,120,expects
636,5,122,trillion
645,5,123,Rupiah
653,5,125,IDR
667,5,129,sale
683,5,133,estimated
693,5,134,price
709,5,137,stock
740,5,143,trillion
760,5,148,million
768,5,149,USD
774,6,152,Both
779,6,153,ArcelorMittal
793,6,154,SA
801,6,157,biggest
809,6,158,steelmaker
827,6,161,world
838,6,164,BlueScope
848,6,165,Steel
854,6,166,Ltd
863,6,169,largest
874,6,171,Australia
890,6,174,expressed
903,6,176,interest
919,6,179,IPO
924,7,181,Krakatau
938,7,183,use
946,7,185,funds
955,7,187,help
960,7,188,finance
971,7,190,expansion
981,7,191,scheme
994,7,193,aims
1007,7,196,production
1018,7,197,doubled
1034,7,200,million
1042,7,201,tonnes
1059,8,206,BTN
1070,8,209,focuses
1081,8,211,home
1086,8,212,owner
1092,8,213,loans
1103,8,216,set
1116,8,219,target
1123,8,220,income
1142,8,223,trillion
1157,8,226,billion
1165,8,227,USD
1178,8,231,compared
1192,8,234,projected
1210,8,236,trillion
1226,8,239,billion
1234,8,240,USD
1244,8,243,year
1250,9,245,Net
1254,9,246,profit
1270,9,249,year
1278,9,251,projected
1298,9,254,billion
1312,9,257,million
1331,9,260,hoped
1340,9,262,rise
1356,9,265,trillion
1372,9,268,million
1380,9,269,USD
1398,10,275,bank
1405,10,277,loan
1413,10,279,deposit
1421,10,280,ratio
1430,10,282,predicted
1443,10,284,rise
1466,10,289,year
1491,11,296,BTN
1495,11,297,hopes
1504,11,299,conduct
1516,11,301,IPO
1531,11,304,end
1545,12,309,Garuda
1570,12,315,state
1576,12,317,owned
1585,12,319,start
1597,12,322,unlike
1631,12,330,close
1656,12,336,company
1664,12,337,belonging
1681,12,340,government
1693,13,342,Like
1705,13,345,Indonesia
1720,13,348,airlines
1730,13,350,Garuda
1747,13,354,list
1755,13,356,air
1759,13,357,carriers
1768,13,358,banned
1782,13,361,EU
1792,13,364,safety
1799,13,365,concerns
1808,13,366,raised
1823,13,369,string
1833,13,371,air
1837,13,372,accidents
1854,13,375,nation
1862,14,377,Garuda
1869,14,378,expects
1880,14,380,raise
1893,14,382,trillion
1909,14,385,million
1917,14,386,USD
1925,14,389,funds
1940,14,392,IPO
1954,14,396,use
1965,14,398,trillion
1981,14,401,million
1989,14,402,USD
1997,14,405,pay
2009,14,408,debts
2019,14,410,invest
2033,14,412,trillion
2049,14,415,million
2057,14,416,USD
2065,14,419,new
2069,14,420,aircraft
2084,15,424,government
2104,15,427,working
2121,15,431,deal
2134,15,434,IPOs
2143,15,436,architectural
2157,15,437,firm
2162,15,438,Yodya
2168,15,439,Karya
2184,15,442,plantation
2195,15,443,firms
2201,15,444,called
2208,15,445,Perkebunan
2219,15,446,Nusantara
2229,15,447,III
2234,15,449,IV
2241,15,451,VII
