char,sent_n,token_i,word
0,1,0,Music
6,1,1,celebrity
16,1,2,Calvin
23,1,3,Broadus
32,1,5,aka
36,1,6,Snoop
42,1,7,Dogg
52,1,10,arrested
64,1,12,US
67,1,13,Customs
79,1,15,Border
86,1,16,Protection
100,1,18,Saturday
116,1,21,US
119,1,23,Mexico
126,1,24,Sierra
133,1,25,Blanca
140,1,26,highway
148,1,27,border
155,1,28,checkpoint
170,1,30,illegal
178,1,31,possession
192,1,33,drug
197,1,34,paraphernalia
213,2,37,Customs
225,2,39,Border
232,2,40,Protection
243,2,41,spokesman
253,2,42,Bill
258,2,43,Brooks
265,2,44,said
270,2,45,agents
277,2,46,smelled
285,2,47,cannabis
307,2,51,routine
315,2,52,search
329,2,55,Broadus
339,2,57,tour
344,2,58,bus
350,3,61,When
359,3,63,officers
382,3,67,inspection
398,3,71,said
410,3,75,discovered
423,3,77,small
440,3,81,cannabis
454,3,84,turned
477,3,89,Hudspeth
486,3,90,County
493,3,91,sheriff
503,4,94,A
505,4,95,local
511,4,96,County
518,4,97,Judge
525,4,99,Becky
531,4,100,Dean
536,4,101,Walker
544,4,103,stated
555,4,105,typical
563,4,106,punitive
572,4,107,measure
587,4,110,illegal
595,4,111,drug
600,4,112,paraphernalia
614,4,113,citation
639,4,120,mail
647,4,123,fine
658,5,127,Broadus
668,5,129,agent
682,5,132,available
696,5,134,comment
709,6,137,Broadus
721,6,139,stated
731,6,141,interviews
756,6,146,prescription
773,6,148,cannabis
789,6,151,US
792,6,152,state
801,6,154,California
817,6,157,migraines
831,6,159,blurry
838,6,160,vision
846,7,162,He
861,7,166,trouble
878,7,169,law
889,7,172,past
909,7,178,number
919,7,180,convictions
934,7,182,weapon
945,7,184,drug
950,7,185,possession
961,7,186,charges
970,8,188,Willie
977,8,189,Nelson
993,8,192,music
999,8,193,celebrity
1014,8,196,arrested
1035,8,200,checkpoint
1050,8,202,similar
1058,8,203,charges
1069,8,205,November
1091,9,210,musicians
1101,9,211,created
1111,9,213,song
1120,9,215,music
1126,9,216,video
1147,9,219,cannabis
1165,9,223,called
1172,9,224,My
1175,9,225,Medicine
