char,sent_n,token_i,word
0,1,0,Last
5,1,1,Friday
20,1,4,British
28,1,5,Prime
34,1,6,Minister
43,1,7,Tony
48,1,8,Blair
54,1,9,debated
66,1,11,role
74,1,13,religion
88,1,15,atheist
96,1,16,author
107,1,18,journalist
118,1,19,Christopher
130,1,20,Hitchens
146,1,23,Roy
150,1,24,Thompson
159,1,25,Hall
167,1,27,Toronto
176,1,29,Canada
184,2,31,Organised
204,2,34,auspices
221,2,38,Munk
226,2,39,Debates
240,2,43,motion
253,2,47,That
258,2,48,religion
272,2,51,force
282,2,53,good
294,2,56,world
303,3,60,Hitchens
312,3,61,argued
324,3,63,religion
339,3,67,cruel
345,3,68,experiment
371,3,72,created
379,3,73,sick
388,3,75,ordered
421,3,83,omnipresent
434,3,85,omniscient
445,3,86,God
449,3,87,supposed
466,3,90,world
472,3,91,religions
489,3,95,celestial
499,3,96,dictatorship
515,3,99,kind
523,3,101,divine
530,3,102,North
536,3,103,Korea
545,4,107,Blair
565,4,112,established
581,4,114,Tony
586,4,115,Blair
592,4,116,Faith
598,4,117,Foundation
611,5,119,conceded
620,5,120,whilst
627,5,121,religion
643,5,124,necessary
657,5,126,everybody
670,5,128,act
674,5,129,morally
696,5,134,helpful
713,5,137,despite
721,5,138,violent
729,5,139,interpretations
748,5,141,texts
757,5,143,extremists
769,6,145,He
772,6,146,said
781,6,148,world
787,6,149,religions
797,6,150,unite
808,6,153,moral
814,6,154,mission
830,6,159,unto
868,6,167,unto
879,6,171,describing
893,6,174,spiritual
903,6,175,presence
913,6,177,bigger
926,6,180,important
942,6,183,meaningful
990,6,193,power
996,6,194,separate
1014,6,197,power
1042,6,204,world
1050,6,206,marvels
1058,6,207,multiply
1068,6,209,makes
1077,6,211,kneel
1086,6,213,humility
1099,6,215,swagger
1110,6,217,pride
1119,7,221,Continuing
1131,7,223,Blair
1137,7,224,stated
1146,7,227,If
1149,7,228,faith
1158,7,230,seen
1171,7,233,way
1176,7,235,science
1188,7,237,religion
1205,7,240,incompatible
1219,7,242,destined
1231,7,244,fight
1255,7,249,eventually
1270,7,251,cool
1275,7,252,reason
1285,7,254,science
1293,7,255,extinguishes
1310,7,257,fanatical
1320,7,258,flames
1330,7,260,religion
1342,8,264,Hitchens
1351,8,265,listed
1358,8,266,numerous
1367,8,267,aspects
1378,8,269,religion
1390,8,271,thought
1403,8,273,negative
1413,8,275,arguing
1428,8,279,good
1441,8,282,world
1450,8,284,appeal
1464,8,287,credulity
1489,8,292,scepticism
1501,9,294,Is
1507,9,296,good
1520,9,299,world
1529,9,301,worship
1539,9,303,deity
1550,9,305,takes
1556,9,306,sides
1565,9,308,wars
1574,9,310,human
1580,9,311,affairs
1589,10,313,To
1592,10,314,appeal
1606,10,317,fear
1622,10,321,guilt
1635,10,325,good
1648,10,328,world
1655,11,330,To
1662,11,332,terror
1674,11,335,terror
1684,11,337,death
1697,11,341,good
1705,11,343,appeal
1715,12,347,Pressing
1728,12,349,points
1736,12,351,Hitchens
1745,12,352,asserted
1756,12,355,To
1759,12,356,preach
1766,12,357,guilt
1776,12,359,shame
1792,12,362,sexual
1799,12,363,act
1811,12,366,sexual
1818,12,367,relationship
1840,12,371,good
1853,12,374,world
1860,13,376,And
1864,13,377,asking
1912,13,386,religious
1922,13,387,responsibilities
1943,13,390,I
1945,13,391,maintain
1964,14,395,To
1967,14,396,terrify
1975,14,397,children
1993,14,400,image
2002,14,402,hell
2011,14,404,eternal
2019,14,405,punishment
2065,14,414,parents
2088,14,418,love
2094,15,420,Perhaps
2102,15,421,worst
2119,15,426,consider
2128,15,427,women
2137,15,429,inferior
2146,15,430,creation
2164,15,434,good
2177,15,437,world
2206,15,445,religion
2241,16,454,Blair
2247,16,455,responded
2259,16,458,I
2267,16,461,think
2283,16,464,think
2310,16,469,point
2319,16,471,examples
2331,16,473,prejudice
2356,16,478,religion
2371,16,481,bigotry
2383,16,483,prejudice
2397,16,485,wrongdoing
2412,16,487,wholly
2419,16,488,owned
2425,16,489,subsidiaries
2441,16,491,religion
2453,17,495,Before
2464,17,497,debate
2476,17,500,audience
2485,17,501,opposed
2497,17,503,motion
2520,17,512,undecided
2532,18,515,Post
2537,18,517,debate
2549,18,520,motion
2560,18,522,opposed
2582,18,528,audience
2595,18,530,supported
