char,sent_n,token_i,word
0,1,0,A
6,1,2,goal
11,1,3,final
17,1,4,quarter
31,1,7,monstrous
41,1,8,goal
51,1,10,outside
72,1,13,arc
79,1,15,Brad
84,1,16,Carmody
96,1,18,Drouin
125,1,23,Gippsland
135,1,24,Football
144,1,25,League
151,1,26,Grand
157,1,27,Final
169,2,31,Gippsland
179,2,32,Football
188,2,33,League
196,2,35,officially
211,2,37,Gippsland
221,2,38,League
241,2,43,major
247,2,44,Australian
258,2,45,rules
264,2,46,football
273,2,47,competition
292,2,50,Gippsland
302,2,51,region
309,2,52,according
326,2,55,Victorian
336,2,56,Country
344,2,57,Football
353,2,58,League
362,3,61,Scores
373,3,63,quoted
383,3,65,goals
389,3,67,behinds
398,3,69,total
407,4,73,Traralgon
417,4,74,skipped
443,4,79,lead
461,4,83,quarter
474,4,85,goals
483,4,87,Tim
487,4,88,Aitken
495,4,90,Nick
500,4,91,Quenault
510,4,93,Danny
516,4,94,Campbell
529,4,96,Dan
533,4,97,McKenna
543,5,100,Daniel
550,5,101,Barrand
558,5,102,kicked
565,5,103,drouins
579,5,105,goal
591,5,108,stroke
601,5,110,quarter
609,5,111,time
619,6,114,teams
625,6,115,second
632,6,116,came
654,6,120,minute
668,6,123,second
675,6,124,quarter
684,7,126,With
698,7,129,goals
704,7,130,beteen
724,7,134,quarter
733,7,136,niether
741,7,137,team
761,7,141,advantage
773,8,144,Two
777,8,145,goals
786,8,147,Aitkin
806,8,151,quarter
814,8,152,gave
819,8,153,Traralgon
831,8,155,seventeen
841,8,156,point
847,8,157,buffer
854,8,158,heading
876,8,162,quarter
886,9,165,Drouin
893,9,166,took
902,9,168,lead
921,9,172,time
931,9,174,early
937,9,175,goals
946,9,177,Troy
951,9,178,Kneebone
961,9,180,Brad
966,9,181,Carmody
978,9,183,Pat
982,9,184,McGrath
991,10,186,Traralgon
1001,10,187,took
1010,10,189,lead
1023,10,191,McKenna
1033,10,193,second
1040,10,194,goal
1047,11,197,Kneebone
1056,11,198,traded
1063,11,199,goals
1074,11,201,Traralgon
1086,11,203,Rowen
1092,11,204,Hore
1104,11,206,Carmody
1116,11,208,Dunne
1122,11,209,gave
1127,11,210,Drouin
1141,11,213,point
1147,11,214,victory
