char,sent_n,token_i,word
0,1,0,At
5,1,2,press
11,1,3,conference
22,1,4,held
27,1,5,Wednesday
40,1,7,Paris
47,1,9,France
55,1,11,Iranian
63,1,13,American
72,1,14,journalist
83,1,15,Roxana
90,1,16,Saberi
97,1,17,called
107,1,19,Iran
115,1,21,release
123,1,22,Silva
129,1,23,Harotonian
144,1,26,Iranian
152,1,27,citizen
160,1,28,working
174,1,31,United
181,1,32,States
188,1,33,aid
192,1,34,agency
200,2,36,Saberi
211,2,38,jailed
221,2,40,Iran
229,2,42,charges
240,2,44,spying
252,2,47,prior
265,2,50,release
273,2,51,shared
282,2,53,cell
292,2,55,Harotonian
305,3,58,Harotonian
320,3,60,working
333,3,63,healthcare
344,3,64,project
360,3,67,organization
373,3,68,International
387,3,69,Research
400,3,71,Exchanges
410,3,72,Board
417,3,74,IREX
424,4,77,She
432,4,79,convicted
445,4,81,attempting
459,4,83,initiate
470,4,85,revolution
486,4,88,received
497,4,90,sentence
509,4,92,January
526,4,95,years
535,4,97,jail
544,5,101,By
547,5,102,arresting
557,5,103,people
564,5,104,like
574,5,107,certain
582,5,108,hardliners
598,5,110,created
609,5,112,atmosphere
623,5,114,fear
635,5,116,Iranian
643,5,117,society
671,5,122,practically
687,5,124,contact
700,5,126,foreigners
723,5,130,accused
734,5,132,acting
749,5,134,national
758,5,135,security
769,5,138,said
774,5,139,Saberi
788,5,142,press
794,5,143,conference
806,6,145,She
810,6,146,spoke
819,6,148,Harotonian
831,6,150,saying
839,6,152,She
843,6,153,gave
853,6,156,lot
860,6,158,strength
873,7,162,Saberi
884,7,164,joined
898,7,167,efforts
909,7,169,behalf
930,7,173,cellmate
942,7,175,International
956,7,176,Federation
975,7,179,League
985,7,181,Human
991,7,182,Rights
998,7,183,president
1008,7,184,Karim
1014,7,185,Lahidji
1023,7,187,International
1037,7,188,Campaign
1050,7,190,Human
1056,7,191,Rights
1066,7,193,Iran
1071,7,194,coordinator
1083,7,195,Hadi
1088,7,196,Ghaemi
1100,7,199,IREX
1105,7,200,president
1115,7,201,Robert
1122,7,202,Pearson
1132,8,205,Saberi
1143,8,207,dual
1148,8,209,citizenship
1166,8,212,Iranian
1174,8,214,American
1192,8,218,grew
1203,8,221,Fargo
1210,8,223,North
1216,8,224,Dakota
1224,9,226,She
1228,9,227,lived
1237,9,229,Iran
1250,9,232,years
1262,9,234,working
1275,9,237,journalist
1290,9,239,news
1295,9,240,media
1301,9,241,organizations
1315,9,242,including
1329,9,244,BBC
1334,10,246,On
1337,10,247,January
1354,10,251,members
1369,10,254,Ministry
1381,10,256,Intelligence
1398,10,258,National
1407,10,259,Security
1419,10,261,Iran
1424,10,262,took
1442,10,266,home
1450,10,268,face
1455,10,269,charges
1466,10,271,spying
1481,10,274,United
1488,10,275,States
1496,11,277,She
1504,11,279,convicted
1518,11,281,sentenced
1537,11,284,years
1546,11,286,jail
1569,11,291,reduced
1582,11,294,suspended
1592,11,295,sentence
1608,11,298,years
1615,12,300,After
1621,12,301,returning
1638,12,304,United
1645,12,305,States
1653,12,307,Saberi
1660,12,308,met
1674,12,311,Secretary
1687,12,313,State
1693,12,314,Hillary
1701,12,315,Clinton
