char,sent_n,token_i,word
0,1,0,An
3,1,1,Austrian
12,1,2,man
16,1,3,charged
29,1,5,keeping
41,1,7,daughter
50,1,8,prisoner
64,1,11,dungeon
79,1,14,years
89,1,16,fathering
103,1,18,seven
109,1,19,children
123,1,22,pleaded
131,1,23,guilty
141,1,25,rape
147,1,27,incest
155,1,29,false
161,1,30,imprisonment
178,1,32,coercion
191,1,34,innocent
203,1,36,enslavement
219,1,38,murder
233,1,41,start
246,1,44,trial
252,1,45,today
260,2,48,Josef
266,2,49,Fritzl
278,2,53,allegedly
288,2,54,began
294,2,55,imprisoning
310,2,57,raping
321,2,59,daughter
330,2,60,Elisabeth
352,2,66,August
368,3,71,He
371,3,72,lured
388,3,76,basement
411,3,80,locked
423,3,83,room
429,3,85,handcuffed
444,3,87,drugged
453,4,89,He
459,4,91,charged
472,4,93,incest
480,4,95,false
486,4,96,imprisonment
500,4,98,murder
508,4,100,rape
521,4,103,enslavement
538,5,106,murder
545,5,107,charge
552,5,108,stems
563,5,110,allegations
580,5,112,Fritzl
587,5,113,murdered
598,5,115,twin
617,5,120,children
627,6,122,He
635,6,124,disposed
651,6,127,body
659,6,129,placing
671,6,131,corpse
685,6,134,heated
692,6,135,oven
698,6,137,burning
710,6,139,body
716,7,141,Police
731,7,144,child
741,7,146,died
746,7,147,shortly
766,7,150,born
773,8,153,Police
787,8,155,suspicious
813,8,160,old
817,8,161,daughter
827,8,163,Kerstin
840,8,166,taken
849,8,168,hospital
865,8,171,mysterious
876,8,172,life
881,8,174,threatening
893,8,175,illness
910,8,179,family
919,8,181,medical
927,8,182,records
940,8,184,checked
949,9,186,Police
965,9,189,Elisabeth
978,9,191,appeared
994,9,195,greatly
1002,9,196,disturbed
1013,9,198,psychologically
1039,9,202,agreed
1049,9,204,talk
1064,9,207,authorities
1076,9,208,assured
1120,9,217,contact
1137,9,220,father
1158,9,225,children
1176,9,228,cared
1187,10,231,When
1192,10,232,authorities
1204,10,233,arrived
1219,10,236,home
1225,10,238,Fritzl
1232,10,239,told
1237,10,240,police
1262,11,246,Of
1269,11,248,surviving
1283,11,250,children
1309,11,255,boys
1324,11,258,girls
1348,11,264,years
1354,11,265,old
1367,12,270,page
1372,12,271,indictment
1383,12,272,says
1393,12,274,Fritzl
1405,12,277,equipped
1422,12,281,cellar
1437,12,285,double
1444,12,286,bed
1451,12,289,wash
1456,12,290,basin
1465,12,293,toilet
1475,12,296,TV
1481,12,299,video
1487,12,300,recorder
1500,12,303,oven
1509,12,305,plastic
1517,12,306,crockery
1527,13,308,In
1534,13,310,cellar
1554,13,314,daylight
1566,13,316,fresh
1572,13,317,air
1586,14,321,opportunity
1601,14,323,wash
1615,14,327,sink
1634,14,332,shower
1642,15,334,There
1660,15,338,hot
1664,15,339,water
1673,15,341,heating
1687,16,345,indictment
1703,16,347,stated
1715,16,349,Fritzl
1724,16,351,actions
1738,16,354,premeditated
1754,17,358,Fritzl
1763,17,360,lawyer
1771,17,362,Rudolf
1778,17,363,Mayer
1785,17,365,opened
1796,17,367,trial
1802,17,368,saying
1814,17,370,Fritzl
1832,17,375,monster
1850,17,379,Fritzl
1862,17,382,scared
1875,17,386,regrets
1887,17,388,actions
1897,18,391,As
1902,18,393,precaution
1916,18,395,prevent
1924,18,396,media
1930,18,397,infiltration
1947,18,399,Fritzl
1956,18,401,escape
1964,18,403,authorities
1976,18,404,issued
1988,18,408,fly
1992,18,409,warning
2010,18,412,courtroom
2023,19,415,Fritzl
2034,19,417,arrested
2046,19,419,April
2069,19,426,home
2077,19,428,Amstetten
2094,19,431,convicted
2114,19,435,spend
2124,19,437,rest
2136,19,440,life
2148,19,442,bars
2165,19,445,possibility
2180,19,447,parole
2192,20,450,minimum
2200,20,451,sentence
2212,20,453,said
2235,20,459,years
2244,20,461,prison
2256,21,464,trial
2265,21,466,expected
2286,21,470,week
