char,sent_n,token_i,word
0,1,0,Some
12,1,4,New
16,1,5,York
21,1,6,City
28,1,8,adults
40,1,10,elevated
49,1,11,mercury
57,1,12,levels
65,1,14,according
82,1,17,city
89,1,19,Health
100,1,21,Nutrition
110,1,22,Examination
122,1,23,Survey
140,1,27,released
152,1,29,Monday
160,2,31,Mercury
168,2,32,poisoning
189,2,36,result
201,2,38,eating
208,2,39,contaminated
221,2,40,animals
230,2,42,leads
241,2,45,wide
246,2,46,range
255,2,48,conditions
267,2,50,including
277,2,51,kidney
288,2,53,neurological
301,2,54,damage
309,2,56,fatigue
318,2,58,vision
325,2,59,problems
339,2,62,tremors
350,3,65,As
357,3,67,example
370,3,70,report
377,3,71,found
388,3,73,New
392,3,74,York
397,3,75,City
402,3,76,women
426,3,81,years
432,3,82,old
443,3,85,average
451,3,86,level
460,3,88,mercury
476,3,91,micrograms
491,3,93,liter
498,3,95,compared
512,3,98,national
521,3,99,average
537,3,102,micrograms
552,3,104,liter
564,3,106,women
575,3,109,similar
583,3,110,age
587,3,111,group
594,4,113,Mercury
602,4,114,exposure
614,4,116,humans
625,4,118,result
635,4,120,brain
641,4,121,damage
649,4,123,birth
655,4,124,defects
664,4,126,severe
671,4,127,neurological
684,4,128,consequences
698,4,130,mercurial
708,4,131,drooling
718,4,133,Minamata
727,4,134,disease
740,4,137,certain
748,4,138,behavior
757,4,139,abnormalities
777,5,143,high
782,5,144,blood
788,5,145,levels
802,5,148,toxin
813,5,150,related
824,5,152,higher
831,5,153,fish
836,5,154,consumption
849,6,156,City
856,6,158,authorities
868,6,159,said
878,6,161,children
897,6,164,years
903,6,165,old
911,6,167,pregnant
924,6,169,breast
931,6,171,feeding
939,6,172,women
952,6,174,avoid
958,6,175,fish
968,6,177,high
973,6,178,mercury
981,6,179,contents
995,7,182,types
1004,7,184,fish
1019,7,187,found
1033,7,190,especially
1044,7,191,high
1049,7,192,levels
1059,7,194,mercury
1072,7,196,Chilean
1080,7,197,sea
1084,7,198,bass
1090,7,200,swordfish
1105,7,203,fresh
1111,7,204,tuna
1117,8,206,A
1124,8,208,study
1137,8,211,National
1146,8,212,Wildlife
1155,8,213,Federation
1166,8,214,found
1185,8,219,United
1192,8,220,States
1204,8,223,animals
1220,8,226,different
1230,8,227,species
1248,8,231,fish
1258,8,234,contaminated
1276,8,236,mercury
1287,8,238,levels
1294,8,239,higher
1306,8,241,previously
1317,8,242,thought
