char,sent_n,token_i,word
0,1,0,Through
10,1,2,press
16,1,3,release
28,1,6,Tie
32,1,7,Domi
39,1,9,lawyer
46,1,10,Tuesday
54,1,11,evening
70,1,15,revealed
84,1,17,Domi
93,1,19,initiate
102,1,20,legal
108,1,21,action
123,1,23,Lee
127,1,24,Miller
135,1,26,coach
148,1,29,Toronto
156,1,30,Marlboros
166,1,31,peewee
173,1,32,AAA
177,1,33,hockey
184,1,34,club
191,2,37,Domi
201,2,40,retired
218,2,43,Toronto
226,2,44,Maple
232,2,45,Leafs
251,2,50,known
263,2,53,enforcer
276,2,55,fighter
295,2,58,playing
303,2,59,days
309,3,61,Domi
314,3,62,accrued
331,3,65,penalty
339,3,66,minutes
354,3,69,player
368,3,72,history
383,3,75,Leafs
396,3,78,ranked
409,3,80,overall
421,3,82,penalty
429,3,83,minutes
444,3,86,National
453,3,87,Hockey
460,3,88,League
468,3,90,NHL
475,4,94,On
478,4,95,Friday
486,4,97,March
496,4,100,Domi
505,4,102,involved
519,4,105,verbal
526,4,106,confrontation
545,4,108,coach
551,4,109,Miller
563,4,111,differences
578,4,113,opinion
589,4,115,coaching
598,4,116,styles
610,4,119,allegedly
635,4,124,ice
639,4,125,time
644,5,126,Domi
651,5,128,son
659,5,130,receiving
670,6,132,Domi
685,6,136,old
689,6,137,son
694,6,139,Max
699,6,141,plays
713,6,144,Marlboros
725,7,147,According
740,7,150,Greater
748,7,151,Toronto
756,7,152,Hockey
763,7,153,League
771,7,155,GTHL
777,7,157,media
783,7,158,release
791,7,159,yesterday
802,7,161,Domi
811,7,163,confronted
822,7,164,Miller
836,7,167,allegedly
847,7,169,foul
856,7,171,profane
864,7,172,language
874,8,174,Toronto
882,8,175,Police
894,8,177,called
908,8,180,rink
916,8,182,deal
930,8,185,situation
948,8,189,charges
961,8,191,laid
968,9,194,On
971,9,195,Monday
979,9,197,April
992,9,201,GTHL
997,9,202,received
1008,9,204,formal
1015,9,205,complaint
1030,9,207,Miller
1037,9,208,outlining
1051,9,210,version
1062,9,212,events
1070,10,214,A
1072,10,215,review
1086,10,218,league
1096,10,220,expected
1108,10,222,finish
1121,10,225,April
1132,11,229,According
1145,11,231,Symon
1151,11,232,Zucker
1159,11,234,Domi
1166,11,236,counsel
1179,11,239,suggestion
1198,11,242,assault
1210,11,245,threat
1220,11,247,assault
1232,11,250,Domi
1241,11,252,occurred
1261,11,255,altercation
1278,11,257,Miller
1298,11,261,merit
1305,12,263,Although
1314,12,264,Zucker
1321,12,265,admitted
1335,12,267,Domi
1344,12,269,Miller
1362,12,273,disagreement
1380,12,275,Miller
1389,12,277,coaching
1398,12,278,skills
1409,12,281,suggested
1423,12,283,discussion
1442,12,286,escalate
1454,12,288,threats
1463,13,290,Zucker
1470,13,291,alleged
1487,13,294,police
1494,13,295,investigation
1515,13,298,cleared
1523,13,299,Domi
1535,13,302,allegations
1548,13,304,left
1553,13,305,Miller
1560,13,306,dissatisfied
1582,13,309,Miller
1590,13,311,decided
1601,13,313,report
1612,13,315,allegations
1631,13,318,media
1646,13,321,intent
1656,13,323,embarrassing
1673,13,325,Domi
1681,14,329,Zucker
1688,14,330,indicated
1703,14,332,Domi
1708,14,333,instructed
1731,14,338,Miller
1741,14,340,notice
1754,14,343,intention
1767,14,345,seek
1772,14,346,damages
1784,14,348,libel
1794,14,350,slander
1804,14,353,according
1821,14,356,press
1827,14,357,release
1841,15,361,Miller
1850,15,363,public
1857,15,364,campaign
1869,15,366,discredit
1883,15,368,Domi
1891,15,370,actionable
1914,15,374,strenuously
1926,15,375,defended
1937,15,378,said
1942,15,379,Zucker
