char,sent_n,token_i,word
0,1,0,Scotland
13,1,2,refused
21,1,3,bail
33,1,6,Libyan
40,1,7,man
44,1,8,convicted
61,1,11,bombing
72,1,13,Pan
76,1,14,Am
79,1,15,Flight
90,1,17,despite
102,1,19,terminal
111,1,20,cancer
129,1,25,receive
137,1,26,treatment
150,1,28,prison
158,2,30,Abdelbaset
169,2,31,Ali
173,2,32,Mohmed
180,2,33,Al
183,2,35,Megrahi
195,2,37,jailed
223,2,43,bombing
238,2,46,transatlantic
252,2,47,airliner
262,2,49,killing
274,2,51,people
289,2,55,seeking
309,2,59,conviction
320,2,60,overturned
333,3,63,Minutes
347,3,65,Edinburgh
359,3,67,Appeals
367,3,68,Court
373,3,69,rejected
382,3,70,bail
390,3,72,compassionate
404,3,73,grounds
412,3,74,Jim
416,3,75,Swire
423,3,77,spokesman
441,3,80,victim
450,3,82,families
463,3,84,lost
472,3,86,daughter
488,3,89,disaster
498,3,91,complained
519,3,94,ruling
528,4,97,It
548,4,102,goal
560,4,105,group
569,4,107,seek
574,4,108,revenge
584,4,111,said
591,4,113,lawyer
598,4,114,outside
610,4,116,court
616,4,117,reading
633,4,120,statement
649,5,124,refusal
662,5,127,return
676,5,130,family
689,5,133,dying
695,5,134,man
705,5,136,verdict
729,5,141,secure
736,5,142,looks
742,5,143,uncomfortably
756,5,144,like
771,5,147,aspect
781,5,149,revenge
803,5,153,timidity
815,6,157,Al
818,6,159,Megrahi
836,6,163,intelligence
849,6,164,officer
868,6,169,serving
878,6,171,minimum
892,6,174,years
906,6,177,bombing
915,7,179,He
922,7,181,advanced
931,7,182,prostate
940,7,183,cancer
956,7,186,spreading
978,7,189,body
984,8,191,His
988,8,192,request
1000,8,194,bail
1009,8,196,rejected
1021,8,198,Lord
1026,8,199,Hamilton
1036,8,201,Scotland
1047,8,203,head
1052,8,204,judge
1063,8,207,said
1076,8,210,doctors
1097,8,214,live
1113,8,218,years
1136,8,223,released
1172,8,229,appeal
1179,8,230,succeeds
1195,8,233,condition
1205,8,234,worsens
1215,9,237,Some
1226,9,239,doctors
1243,9,242,time
1256,9,245,months
1271,9,249,cancer
1282,9,251,reached
1294,9,253,bones
1301,10,255,Hamilton
1318,10,257,said
1328,10,259,palliative
1339,10,260,hormone
1347,10,261,treatment
1363,10,263,prolong
1375,10,265,life
1381,11,267,Hamilton
1395,11,269,said
1400,11,270,Al
1403,11,272,Megrahi
1419,11,275,suffering
1430,11,277,material
1439,11,278,pain
1447,11,280,disability
1465,12,285,Scottish
1474,12,286,Criminal
1483,12,287,Cases
1489,12,288,Review
1496,12,289,Commission
1507,12,290,ruled
1518,12,292,year
1532,12,295,conviction
1552,12,299,miscarriage
1567,12,301,justice
1576,13,303,It
1579,13,304,said
1594,13,307,significant
1606,13,308,doubts
1619,13,311,raised
1639,13,314,key
1643,13,315,pieces
1653,13,317,evidence
1669,13,320,original
1678,13,321,trial
