char,sent_n,token_i,word
0,1,0,UK
3,1,1,Prime
9,1,2,Minister
18,1,3,Gordon
25,1,4,Brown
35,1,6,announced
47,1,8,review
64,1,12,social
71,1,13,effects
83,1,16,gambling
93,1,18,throwing
102,1,19,doubt
117,1,22,government
130,1,24,previous
139,1,25,plans
148,1,27,grant
156,1,29,license
181,1,35,supercasino
200,2,40,review
216,2,44,place
225,2,46,September
241,2,49,look
258,2,53,regeneration
278,2,56,areas
292,2,59,super
298,2,61,casinos
315,2,65,better
322,2,66,way
329,2,68,meeting
343,2,70,economic
356,2,72,social
363,2,73,needs
378,2,76,creation
390,2,78,super
396,2,80,casinos
406,3,83,Gordon
413,3,84,Brown
428,3,87,announcement
448,3,89,Prime
454,3,90,Ministers
464,3,91,questions
478,3,94,response
492,3,97,question
506,3,99,Labour
513,3,100,MP
516,3,101,Andy
521,3,102,Reed
532,4,106,plan
540,4,108,allow
550,4,110,building
564,4,113,single
571,4,114,supercasino
591,4,118,smaller
599,4,119,casinos
612,4,122,set
619,4,124,motion
629,4,126,previous
638,4,127,Prime
644,4,128,Minister
653,4,129,Tony
658,4,130,Blair
665,5,132,An
668,5,133,independent
680,5,134,Casino
687,5,135,Advisory
696,5,136,Panel
706,5,138,recommended
721,5,140,February
744,5,144,supercasino
756,5,145,license
774,5,148,granted
789,5,151,city
797,5,153,Manchester
811,5,156,recommendation
836,5,159,Government
851,5,161,expected
863,5,163,follow
876,6,167,new
880,6,168,announcement
896,6,170,Gordon
903,6,171,Brown
909,6,172,throws
916,6,173,doubt
933,6,176,plans
944,6,179,BBC
948,6,180,News
957,6,182,quoting
968,6,184,unnamed
977,6,186,Whitehall
987,6,187,source
998,6,190,having
1005,6,191,commented
1024,6,194,supercasino
1036,6,195,plan
1045,6,198,dead
1057,6,201,water
