char,sent_n,token_i,word
0,1,0,Space
6,1,1,Exploration
18,1,2,Technologies
40,1,6,commercial
51,1,7,spaceflight
63,1,8,company
71,1,9,better
78,1,10,known
87,1,12,SpaceX
99,1,15,received
108,1,16,Federal
116,1,17,Aviation
125,1,18,Administration
140,1,19,certification
162,1,22,Dragon
169,1,23,spacecraft
181,2,25,This
186,2,26,certification
218,2,32,kind
223,2,33,granted
238,2,36,FAA
243,2,38,serves
255,2,41,commercial
266,2,42,license
280,2,46,enter
288,2,48,spacecraft
304,2,50,earth
310,2,51,orbit
318,3,54,According
331,3,56,NASA
336,3,57,administrator
350,3,58,Charlie
358,3,59,Bolden
367,3,62,With
377,3,64,license
388,3,66,hand
394,3,68,SpaceX
405,3,70,proceed
422,3,73,launch
436,3,76,Dragon
443,3,77,capsule
456,4,80,flight
466,4,82,Dragon
484,4,86,important
494,4,87,step
506,4,89,commercial
517,4,90,cargo
523,4,91,delivery
539,4,94,International
553,4,95,Space
559,4,96,Station
569,5,99,NASA
577,5,101,contracting
589,5,102,SpaceX
599,5,104,provide
607,5,105,commercial
618,5,106,transport
631,5,108,future
638,5,109,crews
648,5,111,cargo
661,5,114,International
675,5,115,Space
681,5,116,Station
690,5,118,ISS
701,6,123,maiden
708,6,124,launch
722,6,127,Dragon
729,6,128,spacecraft
743,6,130,currently
753,6,131,scheduled
767,6,133,December
783,7,137,launch
790,7,138,vehicle
810,7,142,Falcon
819,7,144,rocket
842,7,149,maiden
849,7,150,flight
859,7,152,June
865,8,154,During
883,8,157,flight
895,8,160,Dragon
902,8,161,capsule
916,8,164,launch
924,8,166,orbit
934,8,168,earth
945,8,171,splash
964,8,175,Pacific
972,8,176,Ocean
981,9,180,Milestones
999,9,183,important
1017,9,186,space
1023,9,187,exploration
1039,9,189,SpaceX
1046,9,190,achieved
1062,9,193,important
1076,9,195,today
1084,9,198,according
1097,9,200,NASA
1102,9,201,official
1111,9,202,Doug
1116,9,203,Cooke
1124,9,206,I
1126,9,207,congratulate
1139,9,208,SpaceX
1154,9,211,landmark
1163,9,212,achievement
1179,9,214,wish
1193,9,217,best
1209,9,220,launch
1223,9,223,Dragon
1230,9,224,capsule
