char,sent_n,token_i,word
0,1,0,According
13,1,2,reports
22,1,4,Turkey
33,1,6,today
39,1,7,launched
48,1,8,airstrikes
67,1,10,Kurdistan
77,1,11,Workers
85,1,12,Party
92,1,14,PKK
97,1,16,bases
103,1,17,near
112,1,19,border
122,1,21,Iraq
133,2,24,fighter
141,2,25,jets
150,2,27,helicopter
161,2,28,gunships
174,2,30,said
187,2,33,bombed
194,2,34,targets
210,2,37,sides
223,2,40,border
232,3,43,Turkish
240,3,44,officials
250,3,45,said
262,3,48,major
268,3,49,incursion
286,3,52,implemented
306,3,55,time
319,3,58,diplomacy
331,3,60,final
337,3,61,chance
345,4,63,An
348,4,64,Iraqi
354,4,65,delegation
366,4,67,headed
376,4,69,defense
384,4,70,minister
393,4,71,Qadir
399,4,72,Obeidi
407,4,74,aka
411,4,75,Abdel
417,4,76,Qader
423,4,77,Jassim
435,4,81,scheduled
448,4,83,visit
454,4,84,Turkey
464,4,86,Thursday
476,5,90,We
486,5,93,accept
500,5,96,way
511,6,99,use
518,6,101,Iraqi
524,6,102,territories
537,6,104,including
551,6,106,territories
570,6,109,Kurdistan
580,6,110,region
593,6,114,base
601,6,116,threaten
614,6,118,security
626,6,120,neighbouring
639,6,121,countries
651,6,124,Massoud
659,6,125,Barzani
668,6,127,president
685,6,130,Kurdistan
695,6,131,Regional
704,6,132,Government
716,6,134,said
726,6,137,statement
736,6,138,condemning
751,6,140,PKK
758,7,144,We
765,7,146,concerned
785,7,149,continuing
796,7,150,skirmishes
816,7,153,happening
840,7,158,terrorist
850,7,159,attacks
873,7,163,launched
889,7,166,PKK
905,7,169,Turks
913,7,172,White
919,7,173,House
925,7,174,Press
931,7,175,Secretary
941,7,176,Dana
946,7,177,Perino
953,7,178,said
