char,sent_n,token_i,word
0,1,0,A
2,1,1,little
18,1,4,month
24,1,5,ago
31,1,8,groundbreaking
46,1,9,event
59,1,12,history
70,1,14,micronations
84,1,16,entities
102,1,19,unrecognized
118,1,21,major
124,1,22,world
130,1,23,governments
146,1,25,claim
152,1,26,independent
164,1,27,statehood
175,1,29,took
180,1,30,place
191,2,33,flag
203,2,36,Principality
219,2,38,Vikesland
232,2,41,micronation
244,2,42,located
255,2,44,Manitoba
269,2,47,carried
282,2,49,outer
288,2,50,space
295,3,52,This
313,3,56,time
332,3,60,flag
342,3,63,micronation
358,3,65,left
363,3,66,Planet
370,3,67,Earth
378,4,70,Wikinews
391,4,72,able
408,4,76,opportunity
423,4,78,speak
434,4,80,Vikesland
446,4,82,head
454,4,84,state
461,4,86,Prince
468,4,87,Christopher
480,5,88,I
494,5,92,historical
505,5,93,achievement
518,6,95,He
521,6,96,told
526,6,97,reporter
535,6,98,Joseph
542,6,99,Ford
547,6,100,exactly
562,6,103,got
570,6,105,country
580,6,107,flag
590,6,109,space
609,6,113,future
620,6,115,hold
629,6,117,Vikesland
644,7,120,interview
661,7,123,read
