char,sent_n,token_i,word
4,1,1,Associated
15,1,2,Press
21,1,3,reports
39,1,7,year
44,1,9,old
48,1,10,Nigerian
57,1,11,passenger
67,1,12,known
76,1,14,Abdul
82,1,15,Farouk
89,1,16,Abdulmutallab
103,1,17,attempted
116,1,19,ignite
141,1,24,fireworks
158,1,27,turned
177,1,32,mixture
188,1,34,liquid
199,1,36,powdered
208,1,37,explosives
227,1,40,descent
238,1,42,Northwest
248,1,44,Delta
254,1,45,Flight
265,1,47,departing
280,1,49,Amsterdam
297,1,52,Netherlands
312,1,54,Detroit
321,1,56,Michigan
336,2,60,device
343,2,61,intended
355,2,63,set
367,2,66,bomb
372,2,67,failed
384,2,70,Airbus
396,2,72,plane
402,2,73,safely
409,2,74,landed
423,2,76,noon
428,2,77,yesterday
439,3,79,At
452,3,82,passenger
466,3,84,taken
479,3,87,University
493,3,89,Michigan
502,3,90,Medical
510,3,91,Center
520,3,93,Ann
524,3,94,Arbor
535,4,97,suspect
543,4,98,claimed
554,4,100,investigators
580,4,104,connections
595,4,106,Al
598,4,107,Qaeda
609,5,110,Federal
617,5,111,Aviation
626,5,112,Administration
645,5,114,Transportation
660,5,115,Security
669,5,116,Administration
688,5,118,investigating
706,5,120,explosives
717,5,121,got
730,5,124,plane
741,6,127,man
754,6,130,appear
770,6,135,fly
775,6,137,list
798,6,143,known
814,6,147,significant
826,6,148,terrorist
836,6,149,connection
848,7,151,Officials
862,7,153,treating
875,7,155,case
885,7,158,terrorist
895,7,159,attack
904,8,162,United
911,8,163,States
918,8,164,President
928,8,165,Barack
935,8,166,Obama
941,8,167,convened
952,8,169,meeting
969,8,172,notified
985,8,175,incident
995,9,177,In
1000,9,179,statement
1013,9,182,White
1019,9,183,House
1025,9,184,spokesman
1035,9,185,said
1042,9,188,President
1052,9,189,Obama
1059,9,191,instructed
1079,9,194,appropriate
1091,9,195,measures
1103,9,197,taken
1112,9,199,increase
1121,9,200,security
1134,9,202,air
1138,9,203,travel
1149,10,208,Passengers
1164,10,210,notice
1171,10,211,additional
1182,10,212,screening
1192,10,213,measures
1210,10,216,place
1219,10,218,ensure
1230,10,220,safety
1244,10,223,traveling
1254,10,224,public
1264,10,226,domestic
1277,10,228,international
1291,10,229,flights
1301,10,232,Department
1315,10,234,Homeland
1324,10,235,Security
1333,10,236,spokeswoman
1345,10,237,Sara
1350,10,238,Kuban
1356,10,239,said
1366,10,242,statement
1378,11,245,As
1391,11,248,encourage
1405,11,250,traveling
1415,11,251,public
1428,11,254,observant
1442,11,256,aware
1457,11,259,surroundings
1474,11,261,report
1485,11,263,suspicious
1496,11,264,behavior
1508,11,266,activity
1520,11,268,law
1524,11,269,enforcement
1536,11,270,officials
