char,sent_n,token_i,word
0,1,0,Actress
8,1,1,Portia
15,1,2,de
18,1,3,Rossi
27,1,5,Arrested
36,1,6,Development
48,1,7,recently
77,1,14,interview
96,1,17,gay
100,1,18,press
119,1,23,Advocate
129,2,25,In
136,2,27,interview
151,2,30,talks
167,2,33,sexuality
181,2,35,romance
194,2,37,comedienne
209,2,39,talk
219,2,41,host
224,2,42,Ellen
230,2,43,DeGeneres
254,3,49,old
258,3,50,Australian
269,3,51,reveals
281,3,53,recently
290,3,54,told
307,3,58,old
311,3,59,grandmother
338,3,64,lesbian
352,3,67,visiting
366,3,69,home
372,4,71,Supposedly
387,4,73,grandmother
405,4,76,change
415,4,78,heart
431,4,81,minutes
440,4,83,accepting
450,4,84,De
453,4,85,Rossi
461,4,87,sexuality
473,5,90,DeGeneres
487,5,92,De
490,5,93,Rossi
496,5,94,met
506,5,97,awards
521,5,100,December
545,5,105,immediately
557,5,106,broke
577,5,110,respective
588,5,111,partners
598,6,113,In
605,6,115,May
609,6,116,issue
618,6,118,Allure
625,6,119,magazine
635,6,121,DeGeneres
645,6,122,said
654,6,124,hopes
673,6,128,De
676,6,129,Rossi
704,6,135,rest
716,6,138,lives
729,7,143,interview
744,7,145,reveals
756,7,147,turned
768,7,149,lesbian
776,7,150,roles
783,7,152,including
797,7,154,opposite
806,7,155,Angelina
815,7,156,Jolie
826,7,159,movie
832,7,160,called
839,7,161,Gia
844,8,163,De
847,8,164,Rossi
853,8,165,says
869,8,169,fine
874,8,170,playing
882,8,171,gay
886,8,172,characters
914,8,178,sex
918,8,180,scenes
926,8,182,gay
933,8,184,straight
944,9,187,On
955,9,190,suddenly
964,9,191,feels
970,9,192,comfortable
985,9,194,publicly
994,9,195,speaking
1010,9,198,topic
1018,9,201,I
1024,9,203,thinking
1044,9,208,people
1055,9,210,need
1063,9,212,know
1068,9,213,I
1072,9,215,gay
1076,9,216,know
1086,9,219,I
1098,9,222,living
1108,9,224,example
1119,9,226,continuing
1141,9,230,career
1152,9,232,having
1167,9,236,rich
1172,9,237,life
1182,9,240,I
1187,9,242,incidentally
1200,9,243,gay
1220,9,250,big
1224,9,251,political
1234,9,252,platform
1244,10,254,I
1246,10,255,justified
1270,10,260,ways
1278,11,264,Another
1286,11,265,probable
1295,11,266,reason
1306,11,268,consented
1323,11,271,interview
1340,11,274,timing
1348,11,276,right
1365,11,279,upcoming
1374,11,280,season
1381,11,281,debut
1390,11,283,Arrested
1399,11,284,Development
