char,sent_n,token_i,word
0,1,0,Activision
12,1,2,publisher
29,1,5,popular
37,1,6,Guitar
44,1,7,Hero
49,1,8,series
59,1,10,video
65,1,11,games
77,1,13,simulate
90,1,15,playing
101,1,17,rock
106,1,18,music
117,1,21,unveiled
135,1,24,title
148,1,27,franchise
159,1,29,Guitar
166,1,30,Hero
172,2,32,Aerosmith
188,3,36,game
205,3,40,focus
211,3,41,entirely
231,3,46,selling
239,3,47,American
248,3,48,rock
253,3,49,band
258,3,50,Aerosmith
272,3,53,set
282,3,56,released
296,3,58,June
306,4,61,soundtrack
325,4,64,composed
337,4,66,songs
343,4,67,performed
356,4,69,Aerosmith
379,4,72,related
394,4,75,band
400,5,77,Venues
407,5,78,featured
423,5,81,game
433,5,83,highlight
443,5,84,different
453,5,85,points
467,5,88,band
474,5,90,career
489,6,95,premise
510,6,100,going
519,6,102,cover
537,6,105,years
550,6,108,band
561,6,111,high
566,6,112,school
581,6,115,way
597,6,118,rock
602,6,119,superstardom
618,6,121,today
626,6,124,said
631,6,125,Kai
635,6,126,Huang
642,6,128,head
650,6,130,RedOctane
663,6,133,subsidiary
677,6,135,Activision
690,7,138,Developers
706,7,140,held
711,7,141,motion
718,7,143,capture
726,7,144,sessions
740,7,146,members
755,7,149,band
772,7,153,appear
782,7,156,game
790,8,160,We
802,8,164,lot
809,8,166,ideas
824,8,169,game
837,8,172,fans
851,8,175,fun
855,8,176,interacting
876,8,179,music
883,8,181,getting
891,8,182,inside
902,8,184,body
910,8,186,work
919,8,188,learning
938,8,191,band
945,8,193,history
955,8,196,said
960,8,197,Aerosmith
970,8,198,guitarist
981,8,200,Joe
985,8,201,Perry
993,9,204,Perry
1004,9,206,commented
1021,9,209,effect
1031,9,211,hopes
1041,9,213,game
1063,9,218,music
1069,9,219,business
1080,10,222,On
1085,10,224,larger
1092,10,225,scale
1104,10,229,cool
1122,10,234,pioneers
1131,10,235,helping
1142,10,237,rebuild
1154,10,239,music
1160,10,240,industry
1179,10,243,format
1186,10,244,like
1191,10,245,video
1197,10,246,games
1204,11,248,It
1209,11,250,great
1219,11,252,rock
1234,11,255,record
1241,11,256,companies
1255,11,258,struggling
1274,11,261,sense
1287,11,264,things
1298,11,266,changing
1308,12,268,Fans
1313,12,269,want
1329,12,273,experience
1340,12,274,music
1349,12,276,new
1353,12,277,formats
1376,12,282,going
1410,12,290,play
1419,12,292,game
1430,12,295,pick
1442,12,298,guitar
1453,12,300,real
1462,12,302,start
1468,12,303,bands
1475,13,305,It
1487,13,309,happening
1516,13,316,going
1525,13,318,build
1536,13,320,momentum
1552,13,323,future
1560,14,325,It
1567,14,328,massive
1575,14,329,change
1590,14,332,music
1596,14,333,business
1612,15,338,game
1625,15,341,released
1638,15,343,Xbox
1648,15,346,Playstation
1663,15,349,Wii
1672,15,352,Playstation
1687,16,355,It
1707,16,360,rated
1720,16,363,ESRB
