char,sent_n,token_i,word
0,1,0,Three
6,1,1,American
15,1,2,hikers
27,1,4,arrested
39,1,6,Friday
47,1,8,July
58,1,11,Iran
74,1,14,crossed
87,1,16,Iranian
95,1,17,territory
106,2,19,Reports
122,2,22,hikers
129,2,23,accidentally
142,2,24,crossed
155,2,26,Iran
166,2,28,hiking
181,2,30,Halabja
193,2,32,Ahmad
199,2,33,Awa
210,2,36,Kurdish
218,2,37,Region
228,2,39,Iraq
235,3,42,Iranian
243,3,43,state
249,3,45,run
253,3,46,television
264,3,47,confirmed
279,3,49,authorities
296,3,51,holding
312,3,54,men
324,3,57,woman
334,3,59,illegally
344,3,60,entering
357,3,62,country
366,4,64,According
379,4,66,reports
392,4,69,hikers
404,4,71,warned
420,4,74,Iranian
428,4,75,border
439,4,77,close
458,4,82,careful
471,4,84,hiking
485,4,87,area
493,5,90,Despite
505,5,92,claim
514,5,94,Iranian
522,5,95,television
538,5,98,United
545,5,99,States
552,5,100,Department
566,5,102,State
581,5,105,asking
592,5,107,Swiss
598,5,108,government
612,5,110,investigate
628,5,112,matter
640,6,115,Swiss
646,6,116,government
657,6,117,represents
668,6,118,American
677,6,119,interests
694,6,122,nation
704,7,126,We
721,7,130,available
731,7,131,means
740,7,133,determine
754,7,135,facts
768,7,138,case
778,8,141,safety
789,8,143,security
801,8,145,American
810,8,146,citizens
819,8,147,remains
836,8,150,government
853,8,153,priority
863,9,155,We
875,9,158,detention
885,9,159,cases
896,9,161,seriously
908,9,164,said
913,9,165,Megan
919,9,166,Mattson
930,9,169,spokeswoman
955,9,173,Department
969,9,175,State
977,10,178,We
985,10,180,asked
995,10,182,Swiss
1001,10,183,protecting
1012,10,184,power
1021,10,186,confirm
1035,10,188,reports
1048,10,190,Iranian
1056,10,191,authorities
1076,10,195,true
1085,10,198,seek
1090,10,199,consular
1099,10,200,access
1113,11,205,hikers
1120,11,206,went
1130,11,208,Iraq
1143,11,210,Turkey
1153,11,212,Tuesday
1161,11,213,July
1179,11,218,staying
1192,11,221,resort
1199,11,222,located
1210,11,224,Ahmad
1216,11,225,Awa
1221,12,227,They
1231,12,229,traveled
1247,12,232,Kurdish
1255,12,233,capital
1264,12,235,Irbil
1280,12,239,went
1288,12,241,Sulaymaniyah
1304,12,243,Wednesday
1315,13,245,According
1328,13,247,Kurdish
1336,13,248,officials
1351,13,251,hiker
1361,13,253,ill
1369,13,255,stayed
1379,13,257,Sulaymaniyah
1406,13,261,began
1418,13,263,hike
1428,14,266,hikers
1439,14,268,identified
1453,14,270,Shaun
1459,14,271,Gabriel
1467,14,272,Maxwell
1476,14,274,Shane
1482,14,275,Bower
1489,14,277,Sara
1494,14,278,Short
1505,14,281,Joshua
1512,14,282,Steel
1519,15,284,It
1533,15,288,known
1552,15,292,hikers
1559,15,293,stayed
1584,15,298,arrested
