char,sent_n,token_i,word
0,1,0,Scott
6,1,1,David
12,1,2,Dover
25,1,7,father
39,1,10,young
45,1,11,boys
53,1,13,Cedar
59,1,14,City
65,1,16,Utah
75,1,19,arrested
87,1,21,Thursday
100,1,23,charges
120,1,26,father
136,1,29,filed
142,1,30,today
150,2,33,Police
169,2,37,electric
178,2,38,dog
182,2,39,collars
193,2,41,discipline
208,2,43,children
218,3,45,Conviction
235,3,47,result
254,3,52,years
263,3,54,prison
271,4,56,Dover
286,4,59,held
294,4,61,Iron
299,4,62,County
306,4,63,Jail
312,4,65,bail
321,4,67,set
332,4,70,thousand
341,4,71,dollars
351,5,74,Police
358,5,75,Sgt
363,6,77,Jerry
369,6,78,Womack
376,6,79,said
390,6,82,boys
411,6,87,years
417,6,88,old
439,6,94,burns
448,6,96,marks
482,6,104,known
500,6,107,collars
522,6,111,placed
542,6,114,necks
549,7,116,He
557,7,118,said
577,7,123,Dover
583,7,124,admitted
605,7,128,collars
620,7,131,sons
628,8,135,It
631,8,136,sounds
638,8,137,bad
650,8,141,actually
659,8,142,administers
673,8,144,mild
678,8,145,shock
685,9,147,He
693,9,149,felt
710,9,153,option
721,9,155,discipline
733,10,157,We
736,10,158,disagree
745,10,159,vehemently
758,10,162,said
763,10,163,Womack
772,11,166,Cedar
778,11,167,City
783,11,168,Police
795,11,170,contacted
808,11,172,Wednesday
825,11,175,Department
839,11,177,Child
849,11,179,Family
856,11,180,Services
872,12,185,kids
881,12,187,OK
885,13,189,Try
899,13,192,remember
918,13,195,child
924,13,196,needs
930,13,197,guidance
940,13,199,protection
980,13,206,way
985,14,208,To
992,14,211,discipline
1003,14,212,means
1009,14,213,guidance
1019,14,215,working
1032,14,217,children
1050,14,220,strengths
1063,14,222,showing
1086,14,226,things
1107,14,230,differently
1121,14,233,said
1126,14,234,Carol
1132,14,235,Sisco
1139,14,237,spokeswoman
1159,14,240,Utah
1164,14,241,Department
1178,14,243,Human
1184,14,244,Services
1200,15,249,shock
1206,15,251,collars
1215,15,253,emit
1220,15,254,small
1226,15,255,electrical
1237,15,256,currents
1263,15,261,training
1272,15,262,dogs
1279,16,265,So
1282,16,266,far
1291,16,269,mother
1311,16,273,charged
1320,17,275,Latest
1327,17,276,reports
1335,17,277,said
1344,17,279,boys
1360,17,282,living
1377,18,286,Police
1394,18,289,deciding
1414,18,292,file
1419,18,293,charges
