char,sent_n,token_i,word
0,1,0,Apple
11,1,2,beat
16,1,3,rival
22,1,4,Research
31,2,5,In
34,2,6,Motion
42,2,8,RIM
50,2,11,sales
59,2,13,smartphones
85,2,17,time
103,2,21,quarter
120,3,25,Though
127,3,26,Nokia
141,3,29,ahead
150,3,31,Apple
163,3,34,worldwide
173,3,35,market
181,3,37,figures
193,3,39,yesterday
203,3,40,ranked
210,3,41,Apple
218,3,43,iPhone
226,3,45,G
235,3,48,best
240,3,49,selling
248,3,50,cellular
257,3,51,handset
272,3,54,United
279,3,55,States
288,4,58,When
296,4,60,introduced
311,4,62,iPhone
323,4,64,year
329,4,66,Apple
341,4,69,newcomer
357,4,72,cellular
366,4,73,phone
372,4,74,market
387,4,78,figures
395,4,79,published
408,4,81,Thursday
421,4,84,rose
429,4,86,second
436,4,87,place
447,4,90,ranking
458,4,92,smartphone
469,4,93,manufacturers
484,4,95,ahead
493,4,97,established
505,4,98,players
513,4,99,like
518,4,100,Canadian
527,4,101,RIM
531,4,103,makers
545,4,106,BlackBerry
556,4,108,American
565,4,109,Motorola
579,4,112,Taiwanese
589,4,113,HTC
595,5,116,Apple
603,5,118,chief
609,5,119,executive
620,5,121,Steve
626,5,122,Jobs
632,5,124,anticipated
648,5,126,detailed
657,5,127,figures
670,5,130,news
675,5,131,conference
689,5,133,October
704,6,137,I
708,6,139,like
716,6,141,point
730,6,146,remarkable
741,6,147,milestone
751,6,148,resulting
766,6,150,iPhone
775,6,152,outstanding
787,6,153,performance
804,6,155,quarter
817,6,159,said
824,8,162,Apple
830,8,163,beat
835,8,164,RIM
843,9,168,According
856,9,170,tech
861,9,171,analysts
870,9,172,Canalys
883,9,175,number
893,9,177,iPhones
901,9,178,shipped
922,9,182,quarter
946,9,187,million
961,9,190,RIM
965,9,191,shipped
977,9,193,million
985,9,194,BlackBerry
996,9,195,phones
1004,10,197,Nokia
1010,10,198,sold
1020,10,200,worldwide
1063,11,209,Referring
1080,11,212,introduction
1101,11,216,G
1103,11,217,iPhone
1110,11,218,family
1118,11,220,Pete
1123,11,221,Cunningham
1137,11,223,Canalys
1145,11,224,said
1151,11,226,It
1158,11,228,expected
1172,11,230,Apple
1184,11,232,figure
1201,11,235,smartphone
1212,11,236,leaders
1225,11,238,quarter
1244,11,242,huge
1249,11,243,initial
1257,11,244,new
1261,11,245,product
1269,11,246,shipment
1293,11,252,question
1309,11,255,high
1343,11,264,impressive
1360,13,269,figures
1375,13,272,handset
1383,13,273,sales
1396,13,276,United
1403,13,277,States
1410,13,278,came
1420,13,280,NPD
1424,13,281,Group
