char,sent_n,token_i,word
0,1,0,To
3,1,1,protest
21,1,4,million
29,1,5,budget
43,1,8,RomeFilmFest
59,1,11,man
63,1,12,yesterday
73,1,13,threw
81,1,15,bucket
91,1,17,red
95,1,18,paint
110,1,21,famous
117,1,22,Trevi
123,1,23,Fountain
135,1,25,Rome
148,1,28,fleeing
160,1,30,scene
171,2,33,water
184,2,36,fountain
193,2,37,turned
200,2,38,complete
209,2,39,red
233,2,45,technicians
250,2,47,able
258,2,49,cut
270,2,52,water
276,2,53,supply
284,2,55,let
292,2,57,dye
296,2,58,wash
315,2,63,replace
331,2,66,fresh
337,2,67,water
345,3,70,Pamphlets
360,3,73,previously
371,3,74,unknown
379,3,75,group
385,3,76,called
392,3,77,ATM
396,3,78,Azionefuturista
422,3,81,found
428,3,82,near
437,3,84,fountain
447,3,86,protesting
462,3,88,budget
473,3,90,festival
486,3,92,awarded
499,4,95,red
503,4,96,fountain
516,4,98,meant
527,4,101,reference
544,4,104,red
548,4,105,carpet
562,4,108,festival
578,4,111,opened
590,4,113,Thursday
600,4,115,October
613,5,119,You
617,5,120,wanted
631,5,123,red
635,5,124,carpet
647,5,127,want
654,5,129,city
659,5,130,entirely
671,5,132,vermilion
682,6,134,We
693,6,137,vulnerable
705,6,139,old
710,6,141,ill
715,6,143,students
725,6,145,workers
737,6,148,come
747,6,150,vermilion
760,6,152,colour
772,6,154,greyness
787,6,158,leaflet
795,6,159,read
802,7,162,There
814,7,165,permanent
824,7,166,discoloration
845,7,169,Baroque
853,7,170,fountain
869,7,173,marble
876,7,174,statues
884,7,175,depicting
898,7,177,Roman
904,7,178,Sea
908,7,179,God
912,7,180,Neptune
925,7,183,chariot
934,8,185,Francesco
944,8,186,Rutelli
953,8,188,Minister
965,8,190,Culture
977,8,192,Tourism
988,8,194,Italy
995,8,196,called
1006,8,198,action
1017,8,201,unacceptable
1034,8,203,irresponsible
1048,8,204,act
1055,8,206,vandalism
1070,8,209,said
1080,8,211,new
1084,8,212,anti
1089,8,214,vandalism
1099,8,215,laws
1109,8,217,needed
1118,9,220,On
1121,9,221,April
1147,9,229,old
1151,9,230,woman
1162,9,232,Milan
1168,9,233,swam
1173,9,234,naked
1186,9,237,fountain
1196,9,239,getting
1208,9,241,picture
1221,9,243,international
1235,9,244,newspapers
1247,10,246,Tourists
1256,10,247,throw
1262,10,248,roughly
1275,10,250,euro
1289,10,253,Trevi
1295,10,254,fountain
1309,10,256,day
1318,10,259,good
1323,10,260,luck
1333,11,263,coins
1343,11,265,removed
1354,11,267,night
1382,11,273,sponsor
1392,11,275,supermarket
1408,11,277,Rome
1415,11,279,needy
1421,11,280,citizens
