char,sent_n,token_i,word
0,1,0,Olympic
8,1,1,rider
14,1,2,Hawley
21,1,3,Bennett
29,1,5,Awad
40,1,8,hospital
61,1,11,thrown
77,1,14,horse
93,1,17,Olympic
101,1,18,equestrian
112,1,19,competition
124,1,20,today
131,2,22,Bennett
139,2,24,Awad
157,2,31,stable
164,2,32,condition
181,2,35,Royal
187,2,36,London
194,2,37,Hospital
209,3,41,Canadian
218,3,42,rider
224,3,43,fell
229,3,44,reportedly
253,3,48,fence
262,3,51,fence
273,3,53,musical
281,3,54,notes
297,3,57,distract
306,3,58,horses
314,4,60,Bennett
322,4,62,Awad
329,4,64,horse
336,4,66,Gin
344,4,68,Juice
354,4,71,said
367,4,74,previously
378,4,75,bucked
389,4,77,rider
395,4,78,resulting
416,4,81,hospital
425,4,82,trips
434,5,85,Hawley
466,5,92,fell
471,5,93,today
478,6,95,Reportedly
499,6,98,riders
506,6,99,fell
518,6,102,course
539,6,107,kilometres
555,6,109,sharp
561,6,110,turns
579,6,113,drops
587,7,116,After
597,7,118,fall
611,7,122,eliminated
631,7,125,event
