char,sent_n,token_i,word
0,1,0,Australian
11,1,1,Prime
17,1,2,Minister
26,1,3,Kevin
32,1,4,Rudd
41,1,6,interrupted
56,1,8,Monday
70,1,11,National
79,1,12,Press
85,1,13,Club
96,1,15,announcing
107,1,16,Australia
119,1,18,mid
123,1,20,term
128,1,21,carbon
135,1,22,emissions
145,1,23,reduction
155,1,24,target
165,1,26,live
170,1,27,television
183,2,30,Three
189,2,31,Newcastle
199,2,32,women
205,2,33,screamed
219,2,36,No
228,2,40,moved
242,2,42,Rudd
253,2,45,announced
268,2,47,Australia
284,2,49,reduce
291,2,50,emissions
307,2,53,little
354,3,69,One
365,3,72,women
372,3,74,Annika
379,3,75,Dean
389,3,77,Newcastle
400,3,79,said
414,3,82,announcement
431,3,84,devastating
447,3,86,cowardly
459,4,90,This
464,4,91,announcement
477,4,92,means
487,4,94,Australian
498,4,95,Government
512,4,97,willing
523,4,99,sacrifice
537,4,101,Great
543,4,102,Barrier
551,4,103,Reef
559,4,105,appease
571,4,107,big
575,4,108,polluting
585,4,109,companies
604,4,112,fuelling
613,4,113,global
620,4,114,climate
628,4,115,change
642,5,120,women
653,5,122,removed
670,5,125,gallery
682,5,127,interviewed
697,5,129,Australian
708,5,130,Federal
716,5,131,Police
729,6,135,announcement
767,6,142,nation
776,6,144,senior
783,6,145,journalists
796,6,147,members
811,6,150,senior
818,6,151,cabinet
826,6,152,including
836,6,153,Climate
844,6,154,Change
851,6,155,Minister
860,6,156,Penny
866,6,157,Wong
875,6,159,Treasurer
885,6,160,Wayne
891,6,161,Swan
908,6,166,Greens
915,6,167,senators
924,6,168,Bob
928,6,169,Brown
938,6,171,Christine
948,6,172,Milne
956,7,175,Australia
968,7,177,climate
976,7,178,negotiators
998,7,182,appointed
1022,7,186,Howard
1029,7,187,government
1046,7,190,heavily
1054,7,191,criticised
1068,7,193,South
1074,7,194,Africa
1085,7,196,China
1099,7,199,week
1106,7,201,UNFCCC
1113,7,202,negotiations
1129,7,204,Poznan
1140,7,206,having
1147,7,207,blocked
1172,7,215,target
1191,7,219,Canada
1199,7,221,Japan
1209,7,223,Saudi
1215,7,224,Arabia
