char,sent_n,token_i,word
0,1,0,Ian
4,1,1,Alleyne
13,1,3,host
21,2,5,Trinidad
30,2,6,TV
38,2,8,Crime
44,2,9,Watch
60,2,13,charged
73,2,15,crimes
90,2,18,Sexual
97,2,19,Offences
106,2,20,Act
118,2,23,tape
123,2,24,purporting
144,2,28,mentally
153,2,29,ill
157,2,30,teenage
165,2,31,girl
176,2,33,raped
186,2,35,allegedly
196,2,36,broadcast
211,2,38,year
223,3,42,footage
231,3,43,allegedly
248,3,47,air
252,3,48,thrice
264,3,50,October
276,3,52,triggered
286,3,53,multiple
295,3,54,complaints
309,3,56,police
317,4,58,Caribbean
327,4,59,Communications
342,4,60,Network
353,4,63,CCN
360,4,66,channel
375,4,69,jointly
383,4,70,charged
406,4,74,act
413,4,76,Alleyne
443,4,83,Telecommunications
462,4,84,Act
467,5,86,Summonses
482,5,88,served
498,5,91,Port
506,5,93,Spain
512,5,94,headquarters
526,6,96,Alleyne
538,6,98,placed
548,6,100,custody
568,6,104,city
575,7,107,Alleyne
592,7,110,hospitalised
605,7,111,following
619,7,113,arrest
627,7,115,owing
636,7,117,chest
642,7,118,pains
649,8,120,He
674,8,127,magistrate
697,8,132,receive
705,8,133,bail
728,9,139,He
739,9,142,charged
752,9,144,obstructing
764,9,145,police
772,10,147,Police
783,10,149,visited
791,10,150,CCN
795,10,151,offices
806,10,153,Port
814,10,155,Spain
820,10,156,twice
831,10,158,year
836,10,159,seeking
848,10,161,tape
855,11,164,Alleyne
863,11,165,issued
872,11,167,message
887,11,170,Trinidad
896,11,171,Express
904,11,172,criticising
920,11,174,decision
936,11,177,grant
946,11,179,bail
960,11,182,appears
971,11,184,court
978,12,186,He
981,12,187,said
1002,12,193,sad
1006,12,194,state
1015,12,196,affairs
1042,12,202,police
1050,13,204,What
1060,13,206,I
1082,13,211,seen
1090,13,213,fit
1097,13,215,ensure
1109,13,217,I
1118,13,220,granted
1126,13,221,bail
1140,13,224,magistrate
