char,sent_n,token_i,word
0,1,0,Goodluck
9,1,1,Jonathan
19,1,3,vice
24,1,5,president
37,1,7,Nigeria
61,1,12,country
71,1,14,acting
78,1,15,president
94,1,17,president
104,1,18,Umaru
119,1,20,travelled
132,1,22,Saudi
138,1,23,Arabia
150,1,25,November
162,1,27,receive
170,1,28,medical
178,1,29,treatment
194,1,32,heart
200,1,33,condition
212,2,36,In
217,2,38,televised
227,2,39,address
236,2,41,Jonathan
245,2,42,commented
257,2,45,I
262,2,47,fully
268,2,48,aware
281,2,51,responsibilities
298,2,52,reposed
317,2,57,I
319,2,58,want
327,2,60,reassure
340,2,62,Nigerians
365,2,67,sacred
372,2,68,trust
385,2,71,I
387,2,72,shall
393,2,73,discharge
409,2,76,fullest
417,2,77,abilities
438,3,83,circumstances
463,3,87,I
465,3,88,find
477,3,90,assuming
486,3,91,office
493,3,92,today
502,3,94,acting
509,3,95,president
526,3,98,country
540,4,101,uncommon
550,4,103,sober
560,4,105,reflective
574,5,109,He
577,5,110,added
613,5,119,I
615,5,120,urge
624,5,122,Nigerians
639,5,125,people
655,5,128,faith
664,5,130,God
671,5,132,pray
676,5,133,fervently
699,5,137,recovery
715,5,140,dear
720,5,141,president
739,5,145,early
745,5,146,return
754,6,150,Yesterday
764,6,151,saw
773,6,153,houses
787,6,156,Nigerian
796,6,157,National
805,6,158,Assembly
814,6,159,approve
824,6,161,motion
835,6,163,Jonathan
854,6,166,president
882,6,170,able
890,6,172,return
898,7,174,Under
908,7,176,country
918,7,178,constitution
932,7,180,executive
942,7,181,power
955,7,184,transferred
972,7,186,parliament
986,7,188,formally
995,7,189,informed
1011,7,192,president
1032,7,196,absent
1049,8,199,apparently
1086,8,207,senate
1093,8,208,leader
1100,8,209,David
1106,8,210,Mark
1111,8,211,said
1132,8,215,comments
1147,8,218,interview
1166,8,221,BBC
1175,8,223,month
1186,8,225,sufficient
1197,8,226,notice
1206,9,229,Some
1211,9,230,political
1221,9,231,analysts
1245,9,236,indicated
1259,9,238,assembly
1288,9,244,legally
1296,9,245,binding
1315,9,249,face
1322,9,251,court
1328,9,252,challenge
