char,sent_n,token_i,word
0,1,0,Investigators
19,1,2,stated
31,1,4,Continental
43,1,5,Connection
54,1,6,Flight
73,1,10,crashed
84,1,12,icy
88,1,13,weather
96,1,14,near
101,1,15,Buffalo
110,1,17,New
114,1,18,York
122,1,20,February
142,1,25,autopilot
160,1,28,went
184,1,34,pilot
190,1,35,flying
201,1,37,aircraft
221,1,40,violated
234,1,42,airline
244,1,44,policy
255,1,46,federal
263,1,47,safety
270,1,48,recommendations
292,2,52,plane
298,2,53,involved
314,2,56,incident
329,2,59,Bombardier
340,2,60,Dash
354,2,64,crashed
369,2,67,home
374,2,68,located
390,2,71,Long
395,2,72,Street
405,2,74,Clarence
414,2,75,Center
424,2,78,suburb
434,2,80,Buffalo
443,3,82,It
446,3,83,went
459,3,86,approximately
484,3,89,EST
495,3,92,UTC
501,3,95,February
517,4,99,passengers
536,4,104,duty
541,4,105,pilot
557,4,109,crew
562,4,110,members
570,4,111,died
582,4,114,accident
607,4,120,person
621,4,123,ground
630,5,126,When
639,5,128,plane
645,5,129,crashed
661,5,133,carrying
679,5,136,tonnes
693,5,139,pounds
704,5,142,fuel
710,6,144,Amid
715,6,145,rain
724,6,147,sleet
735,6,150,aircraft
744,6,151,exploded
760,6,154,huge
765,6,155,orange
772,6,156,fireball
782,6,158,sparking
793,6,160,large
799,6,161,fire
810,6,163,emergency
820,6,164,crews
833,6,167,contain
842,7,169,Twelve
849,7,170,houses
856,7,171,near
865,7,173,crash
871,7,174,site
881,7,176,evacuated
893,8,179,Steve
899,8,180,Chealander
914,8,183,investigator
935,8,186,National
944,8,187,Transportation
959,8,188,Safety
966,8,189,Board
973,8,191,NTSB
980,8,194,said
994,8,197,company
1008,8,199,operated
1021,8,201,flight
1028,8,202,suggests
1041,8,204,pilot
1050,8,206,fly
1054,8,207,manually
1068,8,209,conditions
1083,8,211,icy
1088,8,213,saying
1112,8,219,able
1122,8,222,manual
1129,8,223,mode
1137,8,225,sense
1153,8,227,sooner
1169,8,230,autopilot
1183,8,232,sense
1196,9,238,If
1203,9,240,autopilot
1216,9,242,left
1234,9,246,ice
1241,9,248,building
1258,9,252,pilot
1268,9,254,suddenly
1280,9,256,confronted
1303,9,260,difficult
1313,9,261,situation
1325,9,264,said
1330,9,265,William
1338,9,266,Voss
1344,9,268,president
1361,9,271,Flight
1368,9,272,Safety
1375,9,273,Foundation
1387,9,275,speaking
1403,9,278,Toronto
1411,9,279,Star
1418,10,282,Ice
1422,10,283,actually
1431,10,284,changes
1443,10,286,shape
1456,10,289,wing
1462,11,291,If
1484,11,297,wings
1490,11,298,clean
1506,11,301,find
1525,11,305,situation
1547,11,310,suddenly
1560,11,312,aircraft
1569,11,313,decides
1580,11,315,quit
1585,11,316,flying
1599,12,321,airplane
1610,12,323,data
1615,12,324,recorders
1625,12,325,suggest
1650,12,330,significant
1662,12,331,accumulation
1678,12,333,ice
1689,12,336,aircraft
1700,12,338,wings
1710,12,340,windshield
1731,12,343,crashed
1740,13,345,Shortly
1759,13,348,crash
1766,13,350,according
1783,13,353,flight
1790,13,354,voice
1796,13,355,recorder
1810,13,358,pilots
1822,13,360,talking
1840,13,363,poor
1845,13,364,weather
1857,13,366,ask
1865,13,368,traffic
1873,13,369,controller
1888,13,371,permission
1902,13,373,descend
1915,14,376,airplane
1926,14,378,de
1929,14,380,icing
1935,14,381,system
1951,14,384,turned
1972,14,388,crew
1981,14,390,discussed
1995,14,392,ice
2000,15,394,Recordings
2014,15,396,communications
2042,15,400,normal
2055,15,402,soon
2067,15,404,impact
2083,15,408,flight
2090,15,409,crew
2103,15,412,notify
2110,15,413,air
2114,15,414,traffic
2122,15,415,control
2137,15,418,problems
2148,16,421,Investigations
2168,16,423,suggested
2187,16,426,aircraft
2200,16,428,headed
2207,16,429,away
2221,16,432,destination
2233,16,433,airport
2249,16,436,went
